Ontology ID	label	editor preferred term	has curation status	alternative label	IEDB alternative term	definition	definition source	example of usage	term editor	editor note	curator note	ontology term requester	term tracker item	logical type	parent class	material processing technique	detection technique	reagent	input	output	MHC source	target entity	target context	unit
OBI:0001484	assay measuring T cell epitope specific in vivo activity				in vivo activity|biological activity	A T cell epitope dependent biological activity determination assay that uses an in vivo intervention experiment.	IEDB		IEDB					equivalent	assay							('process is result of' some 'MHC:epitope complex binding to TCR')	(Metazoa and ('has quality' some alive))	
OBI:0001489	mass spectrometry assay measuring MHC ligand processing and presentation of MHC ligands eluted from cellular MHC				ligand presentation|cellular MHC/mass spectrometry	A mass spectrometry of MHC ligands assay that identifies eluted ligands from cell bound MHC.	IEDB		IEDB					subclass	mass spectrometry assay measuring MHC ligand processing and presentation		mass spectrometry assay							
OBI:0001490	cytometric bead array measuring epitope specific granulocyte macrophage colony-stimulating factor production by T cells				GM-CSF release|cytometric bead array	A cytometric bead array assay that detects granulocyte macrophage colony stimulating factor production by T cells.	IEDB		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					equivalent	antigen detection by cytometric bead array assay							('granulocyte macrophage colony-stimulating factor production' and ('process is result of' some 'MHC:epitope complex binding to TCR'))		
OBI:0001492	in vivo assay measuring T cell epitope specific protection based on survival				survival from challenge|in vivo assay	An in vivo assay measuring T cell epitope specific protection from other challenge using survival.	IEDB		IEDB					equivalent	epitope protection experiment based on survival	administering substance in vivo to reduce or prevent disease|(not ('pathogen challenge' or 'tumor challenge'))						('process is result of' some 'MHC:epitope complex binding to TCR')	(Metazoa and ('has quality' some alive))	
OBI:0001493	cell bound MHC competitive binding assay of a MHC:ligand complex using T cell epitope recognition				qualitative binding|cellular MHC/T cell inhibition	A cell bound MHC binding assay that uses a T cell epitope recognition assay.	IEDB		IEDB					subclass	assay measuring binding of a cell-bound-MHC:ligand complex		assay measuring binding of a T cell epitope:MHC:TCR complex		('material entity' and 'has role' some 'competitive binding reference ligand role')	categorical binding datum	cell	MHC protein complex binding to ligand		
OBI:0001495	in vivo assay measuring epitope specific T cell helper activity				helper response|in vivo assay	A T cell epitope dependent biological activity assay that detects the ability of epitope specific helper T cells to enhance either B cell or T cell adaptive immune response function.	IEDB		IEDB					equivalent	assay							('helper T cell enhancement of adaptive immune response' and ('process is result of' some 'MHC:epitope complex binding to TCR'))	(Metazoa and ('has quality' some alive))	
OBI:0001496	intracellular cytokine staining assay measuring epitope specific interleukin-22 production by T cells				IL-22 release|ICS	A flow cytometry assay that detects interleukin-22 production by T cells.	IEDB		IEDB					equivalent	flow cytometry assay							('interleukin-22 production' and ('process is result of' some 'MHC:epitope complex binding to TCR'))		
OBI:0001497	assay measuring epitope specific perforin release by T cells				perforin release|biological activity	A T cell epitope specific cytotoxic T cell degranulation assay that detects perforin release by T cells.	IEDB		IEDB					equivalent	assay							('perforin release during T cell degranulation' and ('process is result of' some 'MHC:epitope complex binding to TCR'))		
OBI:0001500	coelution assay measuring MHC ligand processing and presentation using T cell recognition of HPLC fractionated eluate compared to synthetic ligand				ligand presentation|coelution	A MHC ligand processing and presentation assay in which an HPL chromatography is run to separate an input mixture of ligands eluted from MHC into fractions. These fractions are tested for recognition by T cells and compared to the recognition of a synthetic ligand that is presumed to be the recognized epitope. Identical HPLC fractionation and T cell recognition patterns confirm that the specific ligand was presented by MHC molecules.	IEDB		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					subclass	assay measuring MHC ligand processing and presentation		assay measuring binding of a T cell epitope:MHC:TCR complex		('material entity' and 'has role' some 'positive reference substance role')					
OBI:0001507	in vivo assay measuring T cell epitope specific treatment of disease				decreased disease|in vivo assay	An efficacy of T cell epitope intervention experiment that detects a decrease in disease.	IEDB		IEDB					equivalent	epitope treatment experiment	administering substance in vivo to reduce or prevent disease						('process is result of' some 'MHC:epitope complex binding to TCR')	(Metazoa and ('has quality' some alive))	
OBI:0001509	Edman degradation assay measuring MHC ligand processing and presentation				ligand presentation|Edman degradation	A MHC ligand processing and presentation assay that uses Edman degradation to identify the eluted ligands	IEDB		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					equivalent	assay measuring MHC ligand processing and presentation		Edman degradation							
OBI:0001510	mass spectrometry assay measuring MHC ligand processing and presentation of MHC ligands eluted from secreted MHC				ligand presentation|secreted MHC/mass spectrometry	A mass spectrometry of MHC ligands that identifies eluted ligands from secreted MHC.	IEDB		IEDB					subclass	mass spectrometry assay measuring MHC ligand processing and presentation		mass spectrometry assay							
OBI:0001512	cytometric bead array assay measuring epitope specific interleukin-17A production by T cells				IL-17A release|cytometric bead array	A cytometric bead array assay that detects interleukin-17A production by T cells.	IEDB		IEDB					equivalent	antigen detection by cytometric bead array assay							('interleukin-17A production' and ('process is result of' some 'MHC:epitope complex binding to TCR'))		
OBI:0001513	radioactivity detection assay measuring competitive binding of a purified-MHC:ligand complex				qualitative binding|purified MHC/competitive/radioactivity	A radioactivity detection assay that detects loss of binding of a known reference ligand to purified-MHC due to competition by the ligand under investigation.	IEDB		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					subclass	binding assay using radioactivity detection				('material entity' and 'has role' some 'competitive binding reference ligand role')	categorical binding datum	purified MHC molecule preparation	MHC protein complex binding to ligand		
OBI:0001516	radioactivity detection assay measuring half maximal effective concentration [EC50] to determine direct binding of a cell-lysate-MHC:ligand complex				half maximal effective concentration (EC50)|lysate MHC/direct/radioactivity|nM	A radioactivity detection assay that measures half maximal effective concentration (EC50) to detect the direct binding of a cell-lysate-MHC molecule with a ligand.	IEDB		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					equivalent	binding assay using radioactivity detection					EC50 binding datum	cell lysate	MHC protein complex binding to ligand		nanomolar
OBI:0001517	radioactivity detection assay measuring half maximal inhibitory concentration [IC50] to determine competitive binding of a cell-bound-MHC:ligand complex				half maximal inhibitory concentration (IC50)|cellular MHC/competitive/radioactivity|nM	A radioactivity detection assay that measures half maximal inhibitory concentration (IC50) to detect the loss of binding of a known reference ligand to cell-bound-MHC due to competition by the ligand under investigation.	IEDB		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					equivalent	binding assay using radioactivity detection				('material entity' and 'has role' some 'competitive binding reference ligand role')	IC50 binding datum	cell	MHC protein complex binding to ligand		nanomolar
OBI:0001519	fluorescence detection assay measuring direct binding of a cell-lysate-MHC:ligand complex				qualitative binding|lysate MHC/direct/fluorescence	A fluorescence detection assay that detects direct binding of a cell-lysate-MHC molecule with a ligand.	IEDB		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					equivalent	binding assay using fluorescence detection					categorical binding datum	cell lysate	MHC protein complex binding to ligand		
OBI:0001520	fluorescence detection assay measuring half maximal inhibitory concentration [IC50] to determine competitive binding of a cell-bound-MHC:ligand complex				half maximal inhibitory concentration (IC50)|cellular MHC/competitive/fluorescence|nM	A fluorescence detection assay that measures half maximal inhibitory concentration (IC50) to detect the loss of binding of a known reference ligand to cell-bound-MHC due to competition by the ligand under investigation.	IEDB		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					equivalent	binding assay using fluorescence detection				('material entity' and 'has role' some 'competitive binding reference ligand role')	IC50 binding datum	cell	MHC protein complex binding to ligand		nanomolar
OBI:0001521	ELISA measuring epitope specific granulocyte colony stimulating factor production by T cells				G-CSF release|ELISA	An enzyme-linked immunosorbent assay that detects granulocyte colony stimulating factor production by T cells.	IEDB		IEDB					equivalent	enzyme-linked immunosorbent assay							('granulocyte colony-stimulating factor production' and ('process is result of' some 'MHC:epitope complex binding to TCR'))		
OBI:0001523	cytometric bead array assay measuring epitope specific interleukin-17F production by T cells				IL-17F release|cytometric bead array	A cytometric bead array assay that detects interleukin-17F production by T cells.	IEDB		IEDB					equivalent	antigen detection by cytometric bead array assay							('interleukin-17F production' and ('process is result of' some 'MHC:epitope complex binding to TCR'))		
OBI:0001524	fluorescence detection assay measuring equilibrium association constant [KA] to determine direct binding of a cell-bound-MHC:ligand complex				association constant KA|cellular MHC/direct/fluorescence|1/M	A fluorescence detection assay that measures equilibrium association constant (KA) to detect the direct binding of a cell-bound-MHC molecule with a ligand.	IEDB		IEDB					equivalent	binding assay using fluorescence detection					equilibrium association constant (KA)	cell	MHC protein complex binding to ligand		count per molar
OBI:0001531	fluorescence detection assay measuring half life to determine direct binding of a purified-MHC:ligand complex				half life|purified MHC/direct/fluorescence|min	A fluorescence detection assay that measures half life to detect the direct binding of a purified-MHC molecule with a ligand.	IEDB		IEDB					equivalent	binding assay using fluorescence detection					half life of binding datum	purified MHC molecule preparation	MHC protein complex binding to ligand		minute
OBI:0001532	cytometric bead array assay measuring epitope specific interleukin-9 production by T cells				IL-9 release|cytometric bead array	A cytometric bead array assay that detects interleukin-9 production by T cells.	IEDB		IEDB					equivalent	antigen detection by cytometric bead array assay							('interleukin-9 production' and ('process is result of' some 'MHC:epitope complex binding to TCR'))		
OBI:0001534	fluorescence detection assay measuring competitive binding of a purified-MHC:ligand complex				qualitative binding|purified MHC/competitive/fluorescence	A fluorescence detection assay that detects loss of binding of a known reference ligand to purified-MHC due to competition by the ligand under investigation.	IEDB		IEDB					subclass	binding assay using fluorescence detection				('material entity' and 'has role' some 'competitive binding reference ligand role')	categorical binding datum	purified MHC molecule preparation	MHC protein complex binding to ligand		
OBI:0001537	fluorescence detection assay measuring equilibrium dissociation constant [KD] to determine competitive binding of a purified-MHC:ligand complex				dissociation constant KD|purified MHC/competitive/fluorescence|nM	A fluorescence detection assay that measures equilibrium dissociation constant (KD) to detect the loss of binding of a known reference ligand to purified-MHC due to competition by the ligand under investigation.	IEDB		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					equivalent	binding assay using fluorescence detection				('material entity' and 'has role' some 'competitive binding reference ligand role')	equilibrium dissociation constant (KD)	purified MHC molecule preparation	MHC protein complex binding to ligand		nanomolar
OBI:0001539	fluorescence detection assay measuring equilibrium dissociation constant [KD] to determine competitive binding of a cell-bound-MHC:ligand complex				dissociation constant KD|cellular MHC/competitive/fluorescence|nM	A fluorescence detection assay that measures equilibrium dissociation constant (KD) to detect the loss of binding of a known reference ligand to cell-bound-MHC due to competition by the ligand under investigation.	IEDB		IEDB					equivalent	binding assay using fluorescence detection				('material entity' and 'has role' some 'competitive binding reference ligand role')	equilibrium dissociation constant (KD)	cell	MHC protein complex binding to ligand		nanomolar
OBI:0001541	fluorescence detection assay measuring binding on rate [kon] to determine direct binding of a purified-MHC:ligand complex				on rate|purified MHC/direct/fluorescence|nM^-1s^-1	A fluorescence detection assay measuring binding on rate (kon) to detect direct binding of a purified-MHC:ligand complex.	IEDB		IEDB					equivalent	binding assay using fluorescence detection					binding on rate measurement datum (kon)	purified MHC molecule preparation	MHC protein complex binding to ligand		count per nanomolar second
OBI:0001542	detection of specific nucleic acids with complementary probes assay measuring epitope specific interleukin-13 production by T cells				IL-13 release|RNA/DNA detection	A detection of specific nucleic acid polymers with complementary probes that detects interleukin-13 production by T cells.	IEDB		IEDB					equivalent	detection of specific nucleic acid polymers with complementary probes							('interleukin-13 production' and ('process is result of' some 'MHC:epitope complex binding to TCR'))		
OBI:0001543	fluorescence detection assay measuring equilibrium dissociation constant [KD] to determine direct binding of a purified-MHC:ligand complex approximated by EC50				dissociation constant KD (~EC50)|purified MHC/direct/fluorescence|nM	A fluorescence detection assay that measures equilibrium dissociation constant (KD) to detect direct binding of a purified-MHC molecule with a ligand and provides EC50 values determined under assay conditions where the EC50 approximates a KD value.	IEDB		IEDB					equivalent	binding assay using fluorescence detection					equilibrium dissociation constant (KD) approximated by EC50	purified MHC molecule preparation	MHC protein complex binding to ligand		nanomolar
OBI:0001544	radioactivity detection assay measuring equilibrium dissociation constant [KD] to determine competitive binding of a cell-lysate-MHC:ligand complex				dissociation constant KD|lysate MHC/competitive/radioactivity|nM	A radioactivity detection assay that measures equilibrium dissociation constant (KD) to detect the loss of binding of a known reference ligand to cell-lysate-MHC due to competition by the ligand under investigation.	IEDB		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					equivalent	binding assay using radioactivity detection				('material entity' and 'has role' some 'competitive binding reference ligand role')	equilibrium dissociation constant (KD)	cell lysate	MHC protein complex binding to ligand		nanomolar
OBI:0001545	intracellular cytokine staining assay measuring epitope specific macrophage inflammatory protein-1 alpha production by T cells				CCL3/MIP-1a release|ICS	A flow cytometry assay that detects macrophage inflammatory protein-1 alpha production by T cells.	IEDB		IEDB					equivalent	flow cytometry assay							('macrophage inflammatory protein-1 alpha production' and ('process is result of' some 'MHC:epitope complex binding to TCR'))		
OBI:0001549	radioactivity detection assay measuring equilibrium dissociation constant [KD] to determine competitive binding of a cell-bound-MHC:ligand complex				dissociation constant KD|cellular MHC/competitive/radioactivity|nM	A radioactivity detection assay that measures equilibrium dissociation constant (KD) to detect the loss of binding of a known reference ligand to cell-bound-MHC due to competition by the ligand under investigation.	IEDB		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					equivalent	binding assay using radioactivity detection				('material entity' and 'has role' some 'competitive binding reference ligand role')	equilibrium dissociation constant (KD)	cell	MHC protein complex binding to ligand		nanomolar
OBI:0001550	assay measuring binding of a cell-bound-MHC:ligand complex				qualitative binding|cellular MHC	A qualitative binding assay that detects the binding of a cell-bound-MHC molecule with a ligand.	IEDB		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					equivalent	assay					categorical binding datum	cell	MHC protein complex binding to ligand		
OBI:0001552	intracellular cytokine staining assay measuring epitope specific tumor necrosis factor (ligand) superfamily member 11 production by T cells				TNFSF11/RANKL release|ICS	A flow cytometry assay that detects tumor necrosis factor (ligand) superfamily member 11 production by T cells.	IEDB		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					equivalent	flow cytometry assay							('tumor necrosis factor (ligand) superfamily member 11 production' and ('process is result of' some 'MHC:epitope complex binding to TCR'))		
OBI:0001553	assay measuring a binding constant of a MHC:ligand complex				binding constant|binding assay	A MHC:ligand binding assay that measures a binding constant.	IEDB		IEDB					equivalent	assay					binding constant		MHC protein complex binding to ligand		
OBI:0001555	assay measuring binding of a purified-MHC:ligand complex				qualitative binding|purified MHC	A qualitative binding assay that detects the binding of a purified-MHC molecule with a ligand.	IEDB		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					equivalent	assay					categorical binding datum	purified MHC molecule preparation	MHC protein complex binding to ligand		
OBI:0001556	radioactivity detection assay measuring direct binding of a cell-lysate-MHC:ligand complex				qualitative binding|lysate MHC/direct/radioactivity	A radioactivity detection assay that detects direct binding of a cell-lysate-MHC molecule with a ligand.	IEDB		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					equivalent	binding assay using radioactivity detection					categorical binding datum	cell lysate	MHC protein complex binding to ligand		
OBI:0001558	radioactivity detection assay measuring half life to determine direct binding of a cell-bound-MHC:ligand complex				half life|cellular MHC/direct/radioactivity|min	A radioactivity detection assay that measures half life to detect the direct binding of a cell-bound-MHC molecule with a ligand.	IEDB		IEDB					equivalent	binding assay using radioactivity detection					half life of binding datum	cell	MHC protein complex binding to ligand		minute
OBI:0001559	fluorescence detection assay measuring half life to determine direct binding of a cell-bound-MHC:ligand complex				half life|cellular MHC/direct/fluorescence|min	A fluorescence detection assay that measures half life to detect the direct binding of a cell-bound-MHC molecule with a ligand.	IEDB		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					equivalent	binding assay using fluorescence detection					half life of binding datum	cell	MHC protein complex binding to ligand		minute
OBI:0001561	fluorescence detection assay measuring half maximal effective concentration [EC50] to determine direct binding of a cell-bound-MHC:ligand complex				half maximal effective concentration (EC50)|cellular MHC/direct/fluorescence|nM	A fluorescence detection assay that measures half maximal effective concentration (EC50) to detect direct binding of a cell-bound-MHC molecule with a ligand.	IEDB		IEDB					equivalent	binding assay using fluorescence detection					EC50 binding datum	cell	MHC protein complex binding to ligand		nanomolar
OBI:0001562	intracellular cytokine staining assay measuring epitope specific interleukin-17F production by T cells				IL-17F release|ICS	A flow cytometry assay that detects interleukin-17F production by T cells.	IEDB		IEDB					equivalent	flow cytometry assay							('interleukin-17F production' and ('process is result of' some 'MHC:epitope complex binding to TCR'))		
OBI:0001564	radioactivity detection assay measuring equilibrium dissociation constant [KD] to determine competitive binding of a purified-MHC:ligand complex approximated by IC50				dissociation constant KD (~IC50)|purified MHC/competitive/radioactivity|nM	A radioactivity detection assay that measures equilibrium dissociation constant (KD) to detect the loss of binding of a known reference ligand to purified-MHC due to competition by the ligand under investigation and provides IC50 values determined under assay conditions where the IC50 approximates a KD value.	IEDB		IEDB					equivalent	binding assay using radioactivity detection				('material entity' and 'has role' some 'competitive binding reference ligand role')	equilibrium dissociation constant (KD) approximated by IC50	purified MHC molecule preparation	MHC protein complex binding to ligand		nanomolar
OBI:0001565	radioactivity detection assay measuring half life to determine direct binding of a cell-lysate-MHC:ligand complex				half life|lysate MHC/direct/radioactivity|min	A radioactivity detection assay that measures half life to detect the direct binding of a cell-lysate-MHC molecule with a ligand.	IEDB		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					equivalent	binding assay using radioactivity detection					half life of binding datum	cell lysate	MHC protein complex binding to ligand		minute
OBI:0001567	radioactivity detection assay measuring binding off rate [koff] to determine direct binding of a cell-lysate-MHC:ligand complex				off rate|lysate MHC/direct/radioactivity|1/s	A radioactivity detection assay that measures binding off rate [koff] to detect direct binding of a cell-lysate-MHC molecule with a ligand.	IEDB		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					equivalent	binding assay using radioactivity detection					binding off rate measurement datum (koff)	cell lysate	MHC protein complex binding to ligand		hertz
OBI:0001568	radioactivity detection assay measuring half maximal inhibitory concentration [IC50] to determine competitive binding of a purified-MHC:ligand complex				half maximal inhibitory concentration (IC50)|purified MHC/competitive/radioactivity|nM	A radioactivity detection assay that measures half maximal inhibitory concentration (IC50) to detect the loss of binding of a known reference ligand to purified-MHC due to competition by the ligand under investigation.	IEDB		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					equivalent	binding assay using radioactivity detection				('material entity' and 'has role' some 'competitive binding reference ligand role')	IC50 binding datum	purified MHC molecule preparation	MHC protein complex binding to ligand		nanomolar
OBI:0001569	fluorescence detection assay measuring binding off rate [koff] to determine direct binding of a purified-MHC:ligand complex				off rate|purified MHC/direct/fluorescence|1/s	A fluorescence detection assay that measures binding off rate [koff] to detect direct binding of a purified-MHC molecule with a ligand.	IEDB		IEDB					equivalent	binding assay using fluorescence detection					binding off rate measurement datum (koff)	purified MHC molecule preparation	MHC protein complex binding to ligand		hertz
OBI:0001570	assay measuring epitope specific vascular endothelial growth factor production by T cells				VEGF release|biological activity	A T cell epitope specific cytokine production assay that detects vascular endothelial growth factor production by T cells.	IEDB		IEDB					equivalent	assay							('vascular endothelial growth factor production' and ('process is result of' some 'MHC:epitope complex binding to TCR'))		
OBI:0001577	cytometric bead array assay measuring epitope specific intracellular cytokine staining (ICS) IL-22 production by T cells				IL-22 release|cytometric bead array	A cytometric bead array assay that detects interleukin-22 production by T cells.	IEDB		IEDB					equivalent	antigen detection by cytometric bead array assay							('interleukin-22 production' and ('process is result of' some 'MHC:epitope complex binding to TCR'))		
OBI:0001578	ELISA measuring epitope specific vascular endothelial growth factor production by T cells				VEGF release|ELISA	An enzyme-linked immunosorbent assay that detects vascular endothelial growth factor production by T cells.	IEDB		IEDB					equivalent	enzyme-linked immunosorbent assay							('vascular endothelial growth factor production' and ('process is result of' some 'MHC:epitope complex binding to TCR'))		
OBI:0001579	assay measuring binding of a cell-lysate-MHC:ligand complex				qualitative binding|lysate MHC	A qualitative binding assay that detects the binding of a cell-lysate-MHC molecule with a ligand.	IEDB		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					equivalent	assay					categorical binding datum	cell lysate	MHC protein complex binding to ligand		
OBI:0001584	phage display binding assay measuring binding of a purified-MHC:ligand complex				qualitative binding|purified MHC/direct/phage display	A phage display binding assay that detects direct binding of a purified-MHC molecule with a ligand.	IEDB		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					equivalent	phage display binding assay					categorical binding datum	purified MHC molecule preparation	MHC protein complex binding to ligand		
OBI:0001585	cytometric bead array assay measuring epitope specific interleukin-7 production by T cells				IL-7 release|cytometric bead array	A cytometric bead array assay that detects interleukin-7 production by T cells.	IEDB		IEDB					equivalent	antigen detection by cytometric bead array assay							('interleukin-7 production' and ('process is result of' some 'MHC:epitope complex binding to TCR'))		
OBI:0001586	radioactivity detection assay measuring half life to determine direct binding of a purified-MHC:ligand complex				half life|purified MHC/direct/radioactivity|min	A radioactivity detection assay that measures half life to detect the direct binding of a purified-MHC molecule with a ligand.	IEDB		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					equivalent	binding assay using radioactivity detection					half life of binding datum	purified MHC molecule preparation	MHC protein complex binding to ligand		minute
OBI:0001587	assay measuring epitope specific interleukin-7 production by T cells				IL-7 release|biological activity	A T cell epitope specific cytokine production assay that detects interleukin-7 production by T cells.	IEDB		IEDB					equivalent	assay							('interleukin-7 production' and ('process is result of' some 'MHC:epitope complex binding to TCR'))		
OBI:0001589	intracellular cytokine staining assay measuring epitope specific interleukin-17A production by T cells				IL-17A release|ICS	A flow cytometry assay that detects interleukin-17A production by T cells.	IEDB		IEDB					equivalent	flow cytometry assay							('interleukin-17A production' and ('process is result of' some 'MHC:epitope complex binding to TCR'))		
OBI:0001590	fluorescence detection assay measuring direct binding of a purified-MHC:ligand complex				qualitative binding|purified MHC/direct/fluorescence	A fluorescence detection assay that detects direct binding of a purified-MHC molecule with a ligand.	IEDB		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					subclass	binding assay using fluorescence detection					categorical binding datum	purified MHC molecule preparation	MHC protein complex binding to ligand		
OBI:0001592	fluorescence detection assay measuring half maximal effective concentration [EC50] to determine direct binding of a purified-MHC:ligand complex				half maximal effective concentration (EC50)|purified MHC/direct/fluorescence|nM	A fluorescence detection assay that measures half maximal effective concentration (EC50) to detect direct binding of a purified-MHC molecule with a ligand.	IEDB		IEDB					equivalent	binding assay using fluorescence detection					EC50 binding datum	purified MHC molecule preparation	MHC protein complex binding to ligand		nanomolar
OBI:0001594	fluorescence detection assay measuring competitive binding of a cell-bound-MHC:ligand complex				qualitative binding|cellular MHC/competitive/fluorescence	A fluorescence detection assay that detects loss of binding of a known reference ligand to cell-bound-MHC due to competition by the ligand under investigation.	IEDB		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					subclass	binding assay using fluorescence detection				('material entity' and 'has role' some 'competitive binding reference ligand role')	categorical binding datum	cell	MHC protein complex binding to ligand		
OBI:0001595	X-ray crystallography assay determining the 3D structure of a MHC:ligand complex				3D structure|x-ray crystallography|angstroms	A X-ray crystallography 3D molecular structure determination assay that characterizes the 3-dimensional molecular structure of a MHC:ligand complex.	IEDB		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					equivalent	X-ray crystallography 3D molecular structure determination assay					3D structural organization datum	purified MHC molecule preparation	MHC:ligand complex		angstrom
OBI:0001597	cell bound MHC competitive binding assay measuring half maximal inhibitory concentration [IC50] of a MHC:ligand complex using T cell epitope recognition				half maximal inhibitory concentration (IC50)|cellular MHC/T cell inhibition|nM	A cell bound MHC ligand binding half maximal inhibitory concentration (IC50) determination assay that uses a T cell epitope recognition assay to measure ligand binding.	IEDB		IEDB					equivalent	assay measuring the half maximal inhibitory concentration [IC50] of a MHC:ligand complex		assay measuring binding of a T cell epitope:MHC:TCR complex		('material entity' and 'has role' some 'competitive binding reference ligand role')	IC50 binding datum	cell	MHC protein complex binding to ligand		nanomolar
OBI:0001599	radioactivity detection assay measuring competitive binding of a cell-bound-MHC:ligand complex				qualitative binding|cellular MHC/competitive/radioactivity	A radioactivity detection assay that detects loss of binding of a known reference ligand to cell-bound-MHC due to competition by the ligand under investigation.	IEDB		IEDB					subclass	binding assay using radioactivity detection				('material entity' and 'has role' some 'competitive binding reference ligand role')	categorical binding datum	cell	MHC protein complex binding to ligand		
OBI:0001600	assay measuring epitope specific granulocyte colony stimulating factor production by T cells				G-CSF release|biological activity	A T cell epitope specific cytokine production assay that detects granulocyte colony stimulating factor production by T cells.	IEDB		IEDB					equivalent	assay							('granulocyte colony-stimulating factor production' and ('process is result of' some 'MHC:epitope complex binding to TCR'))		
OBI:0001601	cytometric bead array assay measuring epitope specific intracellular cytokine staining (ICS) IL-21 production by T cells				IL-21 release|cytometric bead array	A cytometric bead array assay that detects interleukin-21 production by T cells.	IEDB		IEDB					equivalent	antigen detection by cytometric bead array assay							('interleukin-21 production' and ('process is result of' some 'MHC:epitope complex binding to TCR'))		
OBI:0001602	radioactivity detection assay measuring direct binding of a cell-bound-MHC:ligand complex				qualitative binding|cellular MHC/direct/radioactivity	A radioactivity detection assay that detects direct binding of a cell-bound-MHC molecule with a ligand.	IEDB		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					subclass	binding assay using radioactivity detection					categorical binding datum	cell	MHC protein complex binding to ligand		
OBI:0001604	fluorescence detection assay measuring 50% dissociation of binding temperature [Tm] of a purified-MHC:ligand complex				50% dissociation temperature|purified MHC/direct/fluorescence|°C	A fluorescence detection assay that measures the 50% dissociation of binding temperature of a purified-MHC molecule with a ligand.	IEDB		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					equivalent	binding assay using fluorescence detection					50% dissociation of binding temperature (Tm)	purified MHC molecule preparation	MHC protein complex binding to ligand		degree Celsius
OBI:0001606	fluorescence detection assay measuring direct binding of a cell-bound-MHC:ligand complex				qualitative binding|cellular MHC/direct/fluorescence	A fluorescence detection assay that detects direct binding of a cell-bound-MHC molecule with a ligand.	IEDB		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					subclass	binding assay using fluorescence detection					categorical binding datum	cell	MHC protein complex binding to ligand		
OBI:0001607	assay measuring epitope specific tumor necrosis factor (ligand) superfamily member 11 production by T cells				TNFSF11/RANKL release|biological activity	An assay of epitope specific tumor necrosis factor (ligand) superfamily member 11 production by T cells that detects tumor necrosis factor production.	IEDB		IEDB					equivalent	assay							('tumor necrosis factor (ligand) superfamily member 11 production' and ('process is result of' some 'MHC:epitope complex binding to TCR'))		
OBI:0001608	radioactivity detection assay measuring direct binding of a purified-MHC:ligand complex				qualitative binding|purified MHC/direct/radioactivity	A radioactivity detection assay that detects direct binding of a purified-MHC molecule with a ligand.	IEDB		IEDB					subclass	binding assay using radioactivity detection					categorical binding datum	purified MHC molecule preparation	MHC protein complex binding to ligand		
OBI:0001609	intracellular cytokine staining assay measuring epitope specific interleukin-8 production by T cells				IL-8 release|ICS	A flow cytometry assay that detects interleukin-8 production by T cells.	IEDB		IEDB					equivalent	flow cytometry assay							('interleukin-8 production' and ('process is result of' some 'MHC:epitope complex binding to TCR'))		
OBI:0001610	cytometric bead array assay measuring epitope specific intracellular cytokine staining (ICS) IL-23 production by T cells				IL-23 release|cytometric bead array	A cytometric bead array assay that detects interleukin-23 production by T cells.	IEDB		IEDB					equivalent	antigen detection by cytometric bead array assay							('interleukin-23 production' and ('process is result of' some 'MHC:epitope complex binding to TCR'))		
OBI:0001613	fluorescence detection assay measuring half maximal inhibitory concentration [IC50] to determine competitive binding of a purified-MHC:ligand complex				half maximal inhibitory concentration (IC50)|purified MHC/competitive/fluorescence|nM	A fluorescence detection assay that measures half maximal inhibitory concentration (IC50) to detect the loss of binding of a known reference ligand to purified-MHC due to competition by the ligand under investigation.	IEDB		PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters					equivalent	binding assay using fluorescence detection				('material entity' and 'has role' some 'competitive binding reference ligand role')	IC50 binding datum	purified MHC molecule preparation	MHC protein complex binding to ligand		nanomolar
