ontology ID	label	editor preferred term	has curation status	alternative term	definition	definition source	example of usage	term editor	editor note	curator note	ontology term requester	term tracker item	logical type	parent class	specimen collection process	gross anatomical part	collection process input	associated axioms	URI
OBI:0002612	fecal swab specimen		ready for release	stool swab specimen	A specimen that is collected with a swab from the surface of a feces.	Chris Stoeckert, OBIB		Chris Stoeckert					equivalent	feces specimen	collecting specimen with swab		feces		UBERON_0001988
OBI:0002613	environmental swab specimen		ready for release		A specimen that is collected with a swab from the surface of an environmenal material.	Chris Stoeckert, OBIB		Chris Stoeckert					equivalent	specimen	collecting specimen with swab		environmental material		ENVO_00010483
OBI:0002627	ribosomal RNA-depleted RNA extract	ribosomal RNA-depleted RNA extract	pending final vetting		An extract of RNA which is produced through rRNA (ribosomal RNA) depletion (the removal of highly abundant rRNA species).	https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-018-4585-1	Looking at the reads for each ribosomal RNA-depleted RNA extract, the vast majority align to protein coding genes based on the ENSEMBL annotation.	Dan Berrios					subclass	RNA extract					
OBI:0002648	individual organism specimen				A specimen composed of an individual organism to be studied in an investigation.	EFO_0000542 individual		Person: Jie Zheng				https://github.com/obi-ontology/obi/issues/1092	equivalent	specimen				'has component' exactly 1 'organism'	
OBI:0002691	arthropod meal of blood specimen		metadata complete	blood meal	A specimen of the blood ingested by an arthropod.	VEuPathDB	A specimen used in a blood meal assay to determine what is the source of blood ingested by a mosquito.	Chris Stoeckert|Jie Zheng	The mosquito feeds on a human for example, ingests the blood of the human, this blood is then taken from the tummy of a mosquito and a PCR may be run on this specimen to identify that the mosquito definitely fed on a human.		VEuPathDB	https://github.com/obi-ontology/obi/issues/1117	subclass	blood specimen	collecting specimen from organism				
OBI:0002746	induced sputum specimen				A sputum specimen that is collected from an organism following its inhalation of a nebulized salt solution.	PMC3297553		John Judkins					subclass	sputum specimen	collecting specimen from organism	sputum			UBERON_0007311
OBI:0002774	platelet-poor plasma specimen				A blood plasma specimen that is the output of some platelet-poor plasma preparation and is the portion of plasma that contains fewer than 10,000 platelets per microliter.			PERSON: Matthew Diller					subclass	blood plasma specimen					
OBI:0002778	tracheal aspirate specimen			tracheal wash specimen	A specimen that is collected with a suctioning tube from the trachea.	PMID:25338241		Asiyah Yu Lin ORCID:0000-0003-2620-0345					equivalent	lower respiratory tract specimen	aspiration specimen collection		trachea		UBERON_0003126
OBI:0002779	mid-turbinate nasal swab specimen				A specimen that is collected with a mid-turbinate nasal swab from the turbinate area of the nasal cavity.	https://seattlechildrenslab.testcatalog.org/catalogs/185/files/11633		Asiyah Yu Lin ORCID:0000-0003-2620-0345					equivalent	nasal swab specimen	collecting specimen with swab		middle nasal concha		UBERON_0005921
OBI:0002780	nasal aspirate specimen			nasal wash specimen|nasopharyngeal aspirate	A specimen that is collected with a suctioning tube from the nasal cavity.	Asiyah Yu Lin ORCID:0000-0003-2620-0345		Asiyah Yu Lin ORCID:0000-0003-2620-0345					equivalent	upper respiratory tract specimen	aspiration specimen collection		nasal cavity mucosa		UBERON_0001826
OBI:0002781	lower respiratory tract aspirate specimen			lower respiratory tract wash specimen	A specimen that is collected with a suctioning tube from the lower respiratory tract.	Asiyah Yu Lin ORCID:0000-0003-2620-0345		Asiyah Yu Lin ORCID:0000-0003-2620-0345					equivalent	lower respiratory tract specimen	aspiration specimen collection		lower respiratory tract		UBERON_0001558
OBI:0002783	lower respiratory tract specimen				A specimen that is derived from the lower respiratory tract.	Asiyah Yu Lin ORCID:0000-0003-2620-0345		Asiyah Yu Lin ORCID:0000-0003-2620-0345					equivalent	respiratory system specimen			lower respiratory tract		UBERON_0001558
OBI:0002784	anterior nasal swab specimen				A specimen that is derived from the anterior nasal wall	Asiyah Yu Lin ORCID:0000-0003-2620-0345		Asiyah Yu Lin ORCID:0000-0003-2620-0345					equivalent	nasal swab specimen	collecting specimen with swab		anterior nasal wall		UBERON_3000016
OBI:0002971	endotracheal tube specimen				A specimen that derives from a biofilm that forms on the inner surface of an endotracheal tube while the tube is in the trachea. The specimen is collected upon removal of the tube from the trachea.	https://bmcpulmmed.biomedcentral.com/articles/10.1186/s12890-019-0926-3		John Judkins ORCID:0000-0001-6595-0902					subclass	lower respiratory tract specimen	collecting specimen from organism	respiratory system fluid/secretion			UBERON_0006538
OBI:0002972	endotracheal aspirate specimen				A specimen that derives from a biofilm that forms on the inner surface of an endotracheal tube while the tube is in the trachea. The specimen is collected by suction without removing the tube.	https://bmcpulmmed.biomedcentral.com/articles/10.1186/s12890-019-0926-3		John Judkins ORCID:0000-0001-6595-0902					subclass	lower respiratory tract specimen	aspiration specimen collection	respiratory system fluid/secretion			UBERON_0006538
OBI:0003054	blood specimen in vacutainer			Vacutainer sample	A blood specimen that is located in a vacutainer.	VEuPathDB		John Judkins					subclass	blood specimen	collecting specimen from organism	blood			UBERON_0000178 
OBI:0003055	blood specimen on filter paper			Filter paper sample	A blood specimen that is located on a filter paper.	Penn Group		Jie Zheng|Chris Stoeckert					subclass	blood specimen	collecting specimen from organism	blood			UBERON_0000178 
OBI:0003380	placental blood specimen				A specimen that is derived from placental blood.	VEuPathDB		John Judkins					equivalent	blood specimen	collecting specimen from organism	placental blood			UBERON_8470000
OBI:0003415	peripheral blood mononuclear cell specimen			PBMC specimen	A processed specimen that is extracted from whole blood using gradient centrifugation that separates the blood into a layer of peripheral blood mononuclear cells under the top layer of plasma. It contains lymphocytes, monocytes or macrophages that are critical components in the immune system.	http://en.wikipedia.org/wiki/Peripheral_blood_mononuclear_cell		Jie Zheng|Chris Stoeckert					equivalent	blood specimen	collecting specimen from organism	peripheral blood mononuclear cell			CL_2000001
OBI:0003482	lymph specimen				A specimen that is derived from a portion of lymph collected from an organism.	VEuPathDB		John Judkins ORCID:0000-0001-6595-0902					equivalent	bodily fluid specimen	collecting specimen from organism	(tissue and ('part of' some lymph))			UBERON_0002391 
OBI:0003483	digestive tract specimen				A specimen that is derived from part of a digestive tract.	VEuPathDB		John Judkins ORCID:0000-0001-6595-0902					equivalent	specimen from organism	collecting specimen from organism	(tissue and ('part of' some  'digestive tract'))			UBERON_0001555 
OBI:0003595	nasal lavage fluid				A specimen collected through nasal cavity lavage that contains the reagents used to for the lavage process, organisms, cells, cellular secretions, and other biomaterials present in the nasal cavity space.			Sebastian Duesing|Randi Vita					equivalent	lavage fluid specimen	lavage		nasal cavity mucosa		UBERON_0001826
OBI:0003652	albumin-free serum	albumin-free serum			A blood serum specimen that contains no albumin.			Sebastian Duesing			Philippe Rocca-Serra	https://github.com/obi-ontology/obi/issues/493	equivalent	blood serum specimen				'has part' only (not ('albumin'))	
OBI:0003666	lavage fluid specimen	lavage fluid specimen			A specimen obtained through a lavage process which includes fluid in addition to cells and/or cellular secretions.		The collection of bronchoalveolar lavage fluid (BAL) from the lungs of mice in order to study the cytokines present.	Sebastian Duesing				https://github.com/obi-ontology/obi/issues/1803	equivalent	specimen from organism	lavage				
OBI:0003667	oral lavage fluid	oral lavage fluid		mouth rinse specimen	A specimen collected through oral cavity lavage that contains the reagents used to for the lavage process, organisms, cells, cellular secretions, and other biomaterials present in the oral cavity space.			Sebastian Duesing			Anna Maria Masci	https://github.com/obi-ontology/obi/issues/1803	equivalent	lavage fluid specimen	lavage		mouth		UBERON_0000165
OBI:0100016	blood plasma specimen	blood plasma specimen	metadata complete	plasma	a material entity which corresponds to the liquid component of blood, in which the blood cells are suspended.	WEB: http://en.wikipedia.org/wiki/Blood_plasma	PMID: 18217225.Sex Transm Dis. 2008 Jan;35(1):55-60. Review.Human immunodeficiency virus viral load in blood plasma and semen: review and implications of empirical findings.	PERSON: Maura Gasparetto|PERSON: Melanie Courtot|PERSON: Philippe Rocca-Serra	03/21/2010: BP, blood plasma is defined as the output of certain separation processes, so this is in the domain of OBI, not FMA.				subclass	blood specimen	('material component separation' and ('has specified input' some 'blood specimen'))				
OBI:0100017	blood serum specimen	blood serum specimen	metadata complete		A material entity which derives from blood and corresponds to blood plasma without fibrinogen or the other clotting factors.	WEB: http://en.wikipedia.org/wiki/Blood_plasma	PMID: 18229666.Adv Med Sci. 2007;52 Suppl 1:204-6.Antioxidant activity of blood serum and saliva in patients with periodontal disease treated due to epilepsy.	PERSON: Maura Gasparetto|PERSON: Melanie Courtot|PERSON: Philippe Rocca-Serra					subclass	blood plasma specimen	(('filtration' or 'centrifugation' or 'dialysis') and ('has specified input' some 'blood specimen'))				
OBI:0100067	bronchial alveolar lavage	bronchial alveolar lavage	metadata complete	BAL	Group of biomaterials present in the bronchial aveolar space of an organism which are collected through lavage including the reagents used to for the lavage process, organisms, cells, and cellular secretions present in the bronchial aveolar space.	GROUP: IEDB	solution containing lung derived T cells, eosinophils, and TNFa.	PERSON: Bjoern Peters					equivalent	lavage fluid specimen	lavage	lung			
OBI:0302716	pool of specimens	pool of specimens	metadata complete		A pool of specimens is a mixture of a population of samples which have been gathered from one or more sample populations, obtained by the physical process of mixing individual specimens, e.g.  mixing the DNA collected from the individual fish.	GROUP: CEBS		PERSON: Jennifer Fostel	check with advisors as to how to represent multiple instances of any class? a set of specimens which have been gathered from one or more sample_populations, obtained by the physical process of mixing individual specimens, e.g.  mixing the DNA collected from the individual fish				equivalent	specimen	('material combination' and ('has specified input' only 'specimen'))				
OBI:1000049	whole mount tissue	whole mount tissue	metadata complete	whole mount sample	A whole organism preparation resulting from a histological preparation known as whole mount preparation where the whole specimen is mounted or spread on the microscope (glass) slide	GROUP: OBI		PERSON: Helen Parkinson|PERSON: Philippe Rocca-Serra		PRS:22-02-2008: indicates the need to create a protocol application and distinguish it from this entity|PRS:22-02-2008: is a material which has output_role during whole mount preparation protocol-application			subclass	whole organism preparation	histological sample preparation			'derives from' some 'material anatomical entity'	
OBI:1110041	lymph node cell specimen	lymph node cell specimen	metadata incomplete		A cell specimen comprised of a mixed population of cells obtained by processing whole lymph node into individual cells, typically performed using a sieve. This population includes T cells, B cells, macrophages, and other cell types.	IEDB		IEDB					equivalent	cell specimen	('organ harvesting' and ('has specified input' some 'lymph node'))				
OBI:1110116	splenocyte specimen	splenocyte specimen	metadata complete		A cell specimen comprised of a mixed cell population obtained by processing whole spleen into individual cells, typically performed using a sieve or blender. This population includes T cells, B cells, macrophages, and other cell types.	IEDB		IEDB					equivalent	cell specimen	('organ harvesting' and ('has specified input' some 'spleen'))				
OBI:1200000	FFPE specimen	FFPE specimen		formalin-fixed paraffin-embeded specimen	A specimen that has been fixed in formalin and embedded in paraffin.	https://www.biochain.com/general/what-is-ffpe-tissue/	Many of today’s researchers prefer to use Formalin-Fixed Paraffin-Embedded samples of tissues for their IHC, histological or in-situ genomic analyses. Professionally fixed and embedded FFPE samples and the biomolecules they contain are reasonably stable at ambient temperatures. -based on https://lab-ally.com/histopathology-resources/ffpe-samples/	MIABIS				https://github.com/obi-ontology/obi/issues/1019	subclass	paraffin specimen					
OBI:2000000	uterine cervix specimen				A specimen that is derived from some uterine cervix	Mark A. Miller ORCID:0000-0001-9076-6066|Christian Stoeckert ORCID:0000-0002-5714-991X		Mark A. Miller ORCID:0000-0001-9076-6066|Christian Stoeckert ORCID:0000-0002-5714-991X					equivalent	uterus specimen	collecting specimen from organism	(tissue and ('part of' some  'uterine cervix'))			UBERON_0000002
OBI:2000001	urethra specimen				A specimen that is derived from some urethra	Mark A. Miller ORCID:0000-0001-9076-6066|Christian Stoeckert ORCID:0000-0002-5714-991X		Mark A. Miller ORCID:0000-0001-9076-6066|Christian Stoeckert ORCID:0000-0002-5714-991X					equivalent	specimen from organism	collecting specimen from organism	(tissue and ('part of' some urethra))			UBERON_0000057
OBI:2000002	cervical mucus specimen				A specimen that is derived from some cervical mucus	Mark A. Miller ORCID:0000-0001-9076-6066|Christian Stoeckert ORCID:0000-0002-5714-991X		Mark A. Miller ORCID:0000-0001-9076-6066|Christian Stoeckert ORCID:0000-0002-5714-991X					equivalent	specimen from organism	collecting specimen from organism	cervical mucus			UBERON_0000316
OBI:2000003	throat specimen				A specimen that is derived from some throat	Mark A. Miller ORCID:0000-0001-9076-6066|Christian Stoeckert ORCID:0000-0002-5714-991X		Mark A. Miller ORCID:0000-0001-9076-6066|Christian Stoeckert ORCID:0000-0002-5714-991X					equivalent	specimen from organism	collecting specimen from organism	(tissue and ('part of' some throat))			UBERON_0000341
OBI:2000004	eye specimen				A specimen that is derived from some eye	Mark A. Miller ORCID:0000-0001-9076-6066|Christian Stoeckert ORCID:0000-0002-5714-991X		Mark A. Miller ORCID:0000-0001-9076-6066|Christian Stoeckert ORCID:0000-0002-5714-991X					equivalent	specimen from organism	collecting specimen from organism	(tissue and ('part of' some eye))			UBERON_0000970
OBI:2000005	respiratory system specimen				A specimen that is derived from some respiratory system	Mark A. Miller ORCID:0000-0001-9076-6066|Christian Stoeckert ORCID:0000-0002-5714-991X		Mark A. Miller ORCID:0000-0001-9076-6066|Christian Stoeckert ORCID:0000-0002-5714-991X					equivalent	specimen from organism	collecting specimen from organism	(tissue and ('part of' some 'respiratory system'))			UBERON_0001004
OBI:2000006	upper respiratory tract specimen				A specimen that is derived from some upper respiratory tract	Mark A. Miller ORCID:0000-0001-9076-6066|Christian Stoeckert ORCID:0000-0002-5714-991X		Mark A. Miller ORCID:0000-0001-9076-6066|Christian Stoeckert ORCID:0000-0002-5714-991X					equivalent	respiratory system specimen	collecting specimen from organism	(tissue and ('part of' some 'upper respiratory tract'))			UBERON_0001557
OBI:2000007	nasopharynx specimen				A specimen that is derived from some nasopharynx	Mark A. Miller ORCID:0000-0001-9076-6066|Christian Stoeckert ORCID:0000-0002-5714-991X		Mark A. Miller ORCID:0000-0001-9076-6066|Christian Stoeckert ORCID:0000-0002-5714-991X					equivalent	upper respiratory tract specimen	collecting specimen from organism	(tissue and ('part of' some nasopharynx))			UBERON_0001728
OBI:2000008	semen specimen				A specimen that is derived from some semen	Mark A. Miller ORCID:0000-0001-9076-6066|Christian Stoeckert ORCID:0000-0002-5714-991X		Mark A. Miller ORCID:0000-0001-9076-6066|Christian Stoeckert ORCID:0000-0002-5714-991X					equivalent	bodily fluid specimen	collecting specimen from organism	semen			UBERON_0001968
OBI:2000009	bodily fluid specimen				A specimen that is derived from some bodily fluid	Mark A. Miller ORCID:0000-0001-9076-6066|Christian Stoeckert ORCID:0000-0002-5714-991X		Mark A. Miller ORCID:0000-0001-9076-6066|Christian Stoeckert ORCID:0000-0002-5714-991X					equivalent	specimen from organism	collecting specimen from organism	bodily fluid			UBERON_0006314
OBI:2000010	chorionic villus specimen				A specimen that is derived from some chorionic villus	Mark A. Miller ORCID:0000-0001-9076-6066|Christian Stoeckert ORCID:0000-0002-5714-991X		Mark A. Miller ORCID:0000-0001-9076-6066|Christian Stoeckert ORCID:0000-0002-5714-991X					equivalent	placenta specimen	collecting specimen from organism	(tissue and ('part of' some 'chorionic villus'))			UBERON_0007106
OBI:2000011	meconium specimen				A specimen that is derived from some meconium	Mark A. Miller ORCID:0000-0001-9076-6066|Christian Stoeckert ORCID:0000-0002-5714-991X		Mark A. Miller ORCID:0000-0001-9076-6066|Christian Stoeckert ORCID:0000-0002-5714-991X					equivalent	feces specimen	collecting specimen from organism	meconium			UBERON_0007109
OBI:2000012	umbilical cord blood specimen				A specimen that is derived from some umbilical cord blood	Mark A. Miller ORCID:0000-0001-9076-6066|Christian Stoeckert ORCID:0000-0002-5714-991X		Mark A. Miller ORCID:0000-0001-9076-6066|Christian Stoeckert ORCID:0000-0002-5714-991X					equivalent	blood specimen	collecting specimen from organism	umbilical cord blood			UBERON_0012168
OBI:2000013	arterial blood specimen				A specimen that is derived from some arterial blood	Mark A. Miller ORCID:0000-0001-9076-6066|Christian Stoeckert ORCID:0000-0002-5714-991X		Mark A. Miller ORCID:0000-0001-9076-6066|Christian Stoeckert ORCID:0000-0002-5714-991X					equivalent	blood specimen	collecting specimen from organism	arterial blood			UBERON_0013755
OBI:2000014	venous blood specimen				A specimen that is derived from some venous blood	Mark A. Miller ORCID:0000-0001-9076-6066|Christian Stoeckert ORCID:0000-0002-5714-991X		Mark A. Miller ORCID:0000-0001-9076-6066|Christian Stoeckert ORCID:0000-0002-5714-991X					equivalent	blood specimen	collecting specimen from organism	venous blood			UBERON_0013756
OBI:2000015	capillary blood specimen				A specimen that is derived from some capillary blood	Mark A. Miller ORCID:0000-0001-9076-6066|Christian Stoeckert ORCID:0000-0002-5714-991X		Mark A. Miller ORCID:0000-0001-9076-6066|Christian Stoeckert ORCID:0000-0002-5714-991X					equivalent	blood specimen	collecting specimen from organism	capillary blood			UBERON_0013757
OBI:2000016	erythrocyte specimen				A specimen that is derived from some erythrocytes	Mark A. Miller ORCID:0000-0001-9076-6066|Christian Stoeckert ORCID:0000-0002-5714-991X		Mark A. Miller ORCID:0000-0001-9076-6066|Christian Stoeckert ORCID:0000-0002-5714-991X					equivalent	cell specimen	collecting specimen from organism		erythrocyte		CL_0000232
OBI:2000017	reticulocyte specimen				A specimen that is derived from some reticulocytes	Mark A. Miller ORCID:0000-0001-9076-6066|Christian Stoeckert ORCID:0000-0002-5714-991X		Mark A. Miller ORCID:0000-0001-9076-6066|Christian Stoeckert ORCID:0000-0002-5714-991X					equivalent	cell specimen	collecting specimen from organism		reticulocyte		CL_0000558
OBI:2000018	leukocyte specimen				A specimen that is derived from some leukocytes	Mark A. Miller ORCID:0000-0001-9076-6066|Christian Stoeckert ORCID:0000-0002-5714-991X		Mark A. Miller ORCID:0000-0001-9076-6066|Christian Stoeckert ORCID:0000-0002-5714-991X					equivalent	cell specimen	collecting specimen from organism		leukocyte		CL_0000738
