ontology ID	label	editor preferred term	has curation status	alternative label	definition	definition source	example of usage	term editor	editor note	curator note	ontology term requester	term tracker item	logical type	parent class	function	has part	part of	manufactured by	associated axioms
OBI:0000607	high resolution magic angle spin probe	high resolution magic angle spin probe	metadata complete	high resolution MAS, hr-MAS	Samples that are neither solid nor liquid, being of biological, chemical, or pharmaceutical interest, reveal highly resolved spectra when magic angle spinning is applied. The correct solution is a gradient, such that the field varies along the spinner axis. This so-called Magic Angle Gradient is employed in Brukers high resolution Magic Angle Spinning (hr-MAS) probes, and is implemented in such a way that it is compatible with the stator and does not interfere with the sample eject or insert. Bruker BioSpin has developed a series of dedicated probes for standard bore magnets to accommodate the rapidly expanding field of hr-MAS. These probes are available in double (e.g. 1H and 13C) and triple resonance (e.g. 1H, 13C, 15N) modes and come equipped with a deuterium lock channel. The probes have automatic sample ejection and insertion capability, with the availability of an optional sample changer, enabling fully automated sample runs. Probes can be equipped with an optional B0 gradient, directed along the magic angle, so that gradient spectroscopy can be done used.	http://msi-ontology.sourceforge.net/ontology/NMR.owl#msi_400192|GROUP:<http://msi-ontology.sourceforge.net>		PERSON:Daniel Schober		NMR probe				Bruker high resolution probe					
OBI:0000608	hydrogen generator	hydrogen generator	metadata complete		A gas generator that generates hydrogen gas.	http://msi-ontology.sourceforge.net/ontology/CHROM.owl#msi_01035|GROUP:<http://msi-ontology.sourceforge.net>		PERSON:Daniel Schober						gas generator					
OBI:0000609	glass column	glass column	metadata complete		A glass column is a chromatography column made out of glass that is usually used for larger scale and preparative liquid chromatography separations.	http://msi-ontology.sourceforge.net/ontology/CHROM.owl#msi_01101|GROUP:<http://msi-ontology.sourceforge.net>		PERSON:Daniel Schober						chromatography column					
OBI:0000610	auto injector	auto injector	metadata complete		A gas chromatography device that can auto-inject a small number of samples an inlet.	http://msi-ontology.sourceforge.net/ontology/CHROM.owl#msi_01058|GROUP:<http://msi-ontology.sourceforge.net>		PERSON:Daniel Schober						sample injection system					
OBI:0000611	Varian NMR instrument	Varian NMR instrument	metadata complete		An NMR instrument that is manufactured by Varian.	http://msi-ontology.sourceforge.net/ontology/NMR.owl#msi_400234|GROUP:<http://msi-ontology.sourceforge.net>		PERSON:Daniel Schober		NMR instrument				NMR instrument					
OBI:0000612	Bruker MATCH tube holder system	Bruker MATCH tube holder system	metadata complete	Bruker Multiple Adjustable Tube Clamp Holder	The Bruker Multiple Adjustable Tube Clamp Holder MATCH system is a holder for 100 mm long NMR sample tubes with diameters ranging from micro tubes up to 5 mm NMR tubes. The MATCH insert fits into a standard 10 mm Bruker spinner and is suitable for all non-spinning applications.\n   The MATCH system provides an easy and cost efficient means of optimizing the signal-to-noise ratio of each sample. By matching the NMR tube diameter to the size of the sample, most of the sample can be placed in the active column of the NMR coil. This leads to an enhanced signal detection compared to diluting the same sample quantity in a larger tube.	http://msi-ontology.sourceforge.net/ontology/NMR.owl#msi_400211|GROUP:<http://msi-ontology.sourceforge.net>		PERSON:Daniel Schober		NMR instrument				NMR sample holder					
OBI:0000613	Bruker SPE-NMR platform	Bruker SPE-NMR platform	metadata complete		A Solid Phase Extraction (SPE) system provides an interface between liquid chromatography (LC) and NMR. For the process of LC-SPE  NMR a chromatographic separation is done and the peaks of interest are trapped on an individual SPE cartridge after the column. The peak selection is done either by UV detection or by evaluation of the on-line registered MS or MSn spectra.	http://msi-ontology.sourceforge.net/ontology/NMR.owl#msi_400278|GROUP:<http://msi-ontology.sourceforge.net>		PERSON:Daniel Schober		NMR instrument|hyphenated NMR instrument platform				Bruker NMR instrument					
OBI:0000614	guard column	guard column	metadata complete		Guard columns are installed between the injection valve and the analytical or preparative column and here will remove contaminants and prolong the lifetime of the columns.	http://msi-ontology.sourceforge.net/ontology/CHROM.owl#msi_01111|GROUP:<http://msi-ontology.sourceforge.net>		PERSON:Daniel Schober		chromatography device				chromatography device					
OBI:0000616	high resolution probe with automatic tuning and matching	high resolution probe with automatic tuning and matching	metadata complete	High Resolution Probes with Automatic Tuning and Matching, HR_probe_with_ATM	The Automatic Tuning and Matching (ATM) option for AVANCE spectrometers is available for double resonance probes in fixed-frequency and broadband tunable configurations with either direct or indirect detection. Thus, for multinuclear operation, as often required for applications in inorganic chemistry, ATM facilitates the accurate setting of 90 degree pulse widths on both observe and decoupling channels for each chosen nucleus and each individual sample - even with full automation. Triple resonance probes in fixed-frequency configurations, as typically used for inverse detection with high-field systems.	http://msi-ontology.sourceforge.net/ontology/NMR.owl#msi_400224|GROUP:<http://msi-ontology.sourceforge.net>		PERSON:Daniel Schober		NMR probe				Bruker high resolution probe					
OBI:0000617	fluorine-induced chemiluminescence detector	fluorine-induced chemiluminescence detector	metadata complete		A gas chromatographic detection system based on the low pressure, gas phase chemiluminescence of the reaction mixture of molecular fluorine with organo-sulfur, -selenium, and -tellurium compounds separated from (gas phase) headspace samples. This detector was originally developed in the research group of John Birks at the University of Colorado, USA and was manufactured and sold by Sievers Instruments (Boulder Colorado, USA). This system can be divided up into three parts: the chromatograph, transfer line, and reaction cell; PMT and photon counting electronics; and the molecular fluorine generator.	WEB:<http://www.shsu.edu/~chm_tgc/publications/JPP/chasteen.htm>|http://msi-ontology.sourceforge.net/ontology/CHROM.owl#msi_01087		PERSON:Daniel Schober						gas chromatography detector					
OBI:0000618	size exclusion column	size exclusion column	metadata complete		A size exclusion column is a chromatography column as used in size exclusion chromatography and which enables the separation of mixtures according to differrences in molecular size.	http://msi-ontology.sourceforge.net/ontology/CHROM.owl#msi_01100|GROUP:<http://msi-ontology.sourceforge.net>		PERSON:Daniel Schober						chromatography column					
OBI:0000619	chromatography splitter	chromatography splitter	metadata complete		An adjustable restriction that is placed in the waste outlet to allow the necessary pressure to develop at the column inlet to force a flow (q ml/min) through the column. If the flow of mobile phase is Q ml/min then the waste flow will be (Q-q) ml/min. by adjusting the waste flow, the proportion of the sample entering the capillary column can be varied over a wide range of values and the necessary minimum permissible volume for the particular column in use can be selected for analysis. Unfortunately, the fraction taken in this way may not be representative of the original sample. This is due to the individual solutes in the mixture having different diffusivities and, thus, they distribute themselves across the sampling tube in an irregular manner. In general, the components with higher diffusivities (e.g., those solutes of lower molecular weight) will diffuse away from the bulk sample more quickly than those having lower diffusivities.	WEB:<http://www.chromatography-online.org/EC-Dispersion/GC-Capillary-Columns/rs13.html>|http://msi-ontology.sourceforge.net/ontology/CHROM.owl#msi_01041		PERSON:Daniel Schober		chromatography device				chromatography device					
OBI:0000620	Bruker micro imaging probe	Bruker micro imaging probe	metadata complete		For medical, biological and material sciences research, avance imaging systems provide optimal object handling and performance with a variety of samples types. Two classes of imaging probes are available: in vivo probes for handling and sustaining live objects such as animals and plants, and conventional imaging probes for materials samples.	WEB:<http://www.bruker-biospin.com/probes_microimaging.html>|http://msi-ontology.sourceforge.net/ontology/NMR.owl#msi_400225		PERSON:Daniel Schober		NMR probe				Bruker NMR probe					
OBI:0000621	custom made column	custom made column	metadata complete		A custom made column ia a chromatography column which is specifically tailored according to the needs of the separation as requested by a scientist or working group.	http://msi-ontology.sourceforge.net/ontology/CHROM.owl#msi_01234|GROUP:<http://msi-ontology.sourceforge.net>		PERSON:Daniel Schober						chromatography column					
OBI:0000622	gel permeation column	gel permeation column	metadata complete		A gel permeation column is a chromatography column which is used in gel permeation chromatography and which employs as the stationary phase a swollen gel made by polymerizing and cross-linking styrene in the presence of a diluent which is a nonsolvent for the styrene polymer. The polymer to be analyzed is introduced at the top of the column and then is elutriated with a solvent. The polymer molecules diffuse through the gel at rates depending on their molecular size.	http://msi-ontology.sourceforge.net/ontology/CHROM.owl#msi_01103|WEB:<http://composite.about.com/od/glossaries/l/bldef_g2419.htm>		PERSON:Daniel Schober						chromatography column					
OBI:0000624	Bruker SampleJet system	Bruker SampleJet system	metadata complete		Bruker BioSpin introduces the SampleJet, a robot for NMR tube automation. The SampleJet has been consciously designed to meet the growing customer demand for simplicity, versatility and higher throughput in NMR sample tube automation.\n  The SampleJet utilizes the modern-day industry standard for sample arrangements-the 96 well plate array. Therefore, the samples may be handled by standard lab automation devices before or after the NMR measurement.	WEB:<http://www.bruker-biospin.com/automation.html>|http://msi-ontology.sourceforge.net/ontology/NMR.owl#msi_400208		PERSON:Daniel Schober		NMR instrument				Bruker autosampler					
OBI:0000625	JEOL ECX NMR spectrometer	JEOL ECX NMR spectrometer	metadata complete		The ECX series of NMR spectrometers is designed for any laboratory needing an easy-to-use, reliable, routine NMR system. The ECX NMR series is available from 300 to 500 MHz. The console is designed around a modular, digital NMR electronics chassis controlled by an intelligent acquisition computer. For unprecedented flexibility, the JEOL NMR system offers a Windows XP, Mac OSX or LINUX. Both the workstation and spectrometer may be connected to a standard network, allowing seamless remote operation anywhere in the world.	WEB:<http://www.jeol.com/PRODUCTS/AnalyticalInstruments/NuclearMagneticResonance/ECX/tabid/145/Default.aspx>|http://msi-ontology.sourceforge.net/ontology/NMR.owl#msi_400227		PERSON:Daniel Schober		NMR instrument				JEOL NMR instrument					
OBI:0000627	quaternary pump system	quaternary pump system	metadata complete		A pump system that pump and mix up to four different solvents in parallel.	http://msi-ontology.sourceforge.net/ontology/CHROM.owl#msi_01047|GROUP:<http://msi-ontology.sourceforge.net>		PERSON:Daniel Schober						chromatography pump system					
OBI:0000628	carbon nanotube column	carbon nanotube column	metadata complete		Carbon nanotubes (CNTs) are known to have high thermal and mechanical stability and have the potential to be high-performance separation media that utilize the nanoscale interactions. CNT can be applied in long capillary tubes for the development of gas chromatography columns. A film of CNTs can be deposited by chemical vapor deposition (CVD) to form the stationary phase in the open tubular format. Altering the CVD conditions can vary the thickness and the morphology of the CNT film, which opens the possibility of selectivity tuning. The ability to fabricate long tubes coated with CNTs can be readily employed in other gas- and liquid-phase separations as well.	WEB:<http://pubs.acs.org/cgi-bin/abstract.cgi/ancham/2005/77/i21/abs/ac050812j.html>|http://msi-ontology.sourceforge.net/ontology/CHROM.owl#msi_01107		PERSON:Daniel Schober						chromatography column					
OBI:0000629	Bruker solid magic angle spinning probe	Bruker solid magic angle spinning probe	metadata complete	solid MAS probe	Magic angle spinning, nowadays a routine technique for solids NMR, still offers the capability of innovation. The high mechanical performance of MAS probes in conjunction with efficient rf pulse techniques open new exciting fields in solids NMR of biological samples and in the field of quadrupolar nuclei.	http://msi-ontology.sourceforge.net/ontology/NMR.owl#msi_400193|GROUP:<http://msi-ontology.sourceforge.net>		PERSON:Daniel Schober		NMR probe				Bruker NMR probe					
OBI:0000631	Varian MERCURY spectrometer	Varian MERCURY spectrometer	metadata complete		MERCURYplus spectrometers provide superior control, stability, and performance for high-productivity environments. Surface-mount electronics enable a small footprint without compromising data quality. Modular design allows flexible configuration. Direct digital synthesis, linear amplifiers, and other innovative RF and digital technologies enable push-button operation.	http://msi-ontology.sourceforge.net/ontology/NMR.owl#msi_400235|WEB:<http://www.varianinc.com/cgi-bin/nav?varinc/docs/products/NMR/spectromet/mercury/index&cid=975JINLIKLRMPGLMNOILJ>		PERSON:Daniel Schober		NMR instrument				Varian NMR instrument					
OBI:0000632	Bruker Metabolic Profiler	Bruker Metabolic Profiler	metadata complete		An NMR platform for conducting metabonomics studies, traditional metabolism studies, and analysis of complex mixtures, featuring an Avance NMR spectrometer and a microTOF from Bruker Daltonics. By combining the structural resolving power of NMR with mass accuracy of the microTOF Bruker offers a complete system for metabolic research. The Metabolic Profiler provides a simple, easy to use and inexpensive base-system to acquire the spectroscopic data, needed to do basic metabolic profiling including metabonomic statistical analysis.	http://msi-ontology.sourceforge.net/ontology/NMR.owl#msi_400199|WEB:<http://www.bruker-biospin.com/metabolicprofiler.html>		PERSON:Daniel Schober		NMR instrument|hyphenated NMR instrument platform				Bruker NMR instrument					
OBI:0000633	column heater	column heater	metadata complete		The glass liner can be fitted with a separate heater and the volatilization temperature can, thus, be controlled. This flash heater system is available in most chromatographs. By using a syringe with a long needle, the tip can be made to penetrate past the liner and discharge its contents directly into the column packing. This procedure is called 'on-column injection' and, as it reduces peak dispersion on injection and thus, provides higher column efficiencies, is often the preferred procedure.	http://msi-ontology.sourceforge.net/ontology/CHROM.owl#msi_01040|WEB:<http://www.chromatography-online.org/GC/Injection-Devices/Open-Tubular-Column/rs15.html>		PERSON:Daniel Schober						chromatography instrument					
OBI:0000635	JEOL CapNMR probe	JEOL CapNMR probe	metadata complete		The JEOL ECA and ECX NMR spectrometers now support the MRM/Protasis CapNMR Probe for well plate-based and microvial-based NMR analysis. The CapNMR probe is available at proton frequencies ranging from 300 MHz to 800 MHz in both indirect configurations (e.g. 1H{13C} and 1H {31P}) and also in triple resonance configurations (e.g. 1H{13C, 15N}, 1H{31P, 15N}). Both employ a high-strength z-directed field gradient. The flowprobes come with the choice of two flowcell volumes: a 5 μl flowcell with an NMR active volume of 2.5 μl, and a 10 μl flowcell with an NMR active volume of 5 μl. The fluidic connections are 75 μm i.d. and 1/32 o.d. FEP Teflon with hastelloy unions for exceptional solvent compatibility.	http://msi-ontology.sourceforge.net/ontology/NMR.owl#msi_400233|WEB:<http://www.jeol.com/PRODUCTS/AnalyticalInstruments/NuclearMagneticResonance/CapNMRProbe/tabid/396/Default.aspx>		PERSON:Daniel Schober		NMR probe				JEOL NMR probe					
OBI:0000636	acquisition computer	acquisition computer	metadata complete		A Computer used for NMR, can be divided into central processing unit (CPU), consisting of instruction, interpretation and arithmetic unit plus fast access memory, and peripheral devices such as bulk data storage and input and output devices (including, via the interface, the spectrometer). Under software control, the computer controls the RF pulses and gradients necessary to acquire data, and process the data to produce spectra or images. Note that devices such as the spectrometer may themselves incorporate small computers.	http://msi-ontology.sourceforge.net/ontology/NMR.owl#msi_400013|GROUP:<http://msi-ontology.sourceforge.net>		PERSON:Daniel Schober		NMR instrument				computer	information processor function				
OBI:0000637	gas chromatography detector	gas chromatography detector	metadata complete	FID	A gas chromatography detector is a chromatography detector that locates in the dimensions of space and time, the positions of the components of a mixture that has been subjected to a gas chromatographic process and thus permits the senses to appreciate the nature of the separation. There is no LC detector that has an equivalent performance to the flame ionization detector (FID) used in GC. In general, LC detectors have sensitivities of two to three orders of magnitude less than their GC counterparts and linear dynamic ranges one to two orders of magnitude lower. Only highly specific LC detectors have sensitivities that can approach those of GC detectors.	WEB:<http://www.chromatography-online.org/GC-Detectors/Classification/rs1.html>|http://msi-ontology.sourceforge.net/ontology/CHROM.owl#msi_01083		PERSON:Daniel Schober		chromatography detector, defined class/xps				chromatography detector					
OBI:0000638	gas purifier	gas purifier	metadata complete		Gas purifiers are instruments used for the removal of gas impurities like hydrocarbons, oxygen, and moisture from carrier gas and fuel gases for GC or GC-MS systems.	http://msi-ontology.sourceforge.net/ontology/CHROM.owl#msi_01036|WEB:<http://www.sigmaaldrich.com/Area_of_Interest/Analytical__Chromatography/Gas_Chromatography/Accessories/SGT_Gas_Purifier.html>		PERSON:Daniel Schober		gas chromatography equipment				gas chromatography equipment					
OBI:0000640	indirect detection probe	indirect detection probe	metadata complete		An NMR probe designed to allow the indirect detection of acquisition nuclei.	http://msi-ontology.sourceforge.net/ontology/NMR.owl#msi_400281|GROUP:<http://msi-ontology.sourceforge.net>		PERSON:Daniel Schober		NMR device				NMR probe					
OBI:0000641	JEOL ECA NMR spectrometer	JEOL ECA NMR spectrometer	metadata complete		The ECA series of NMR spectrometers is a high performance, research grade NMR system configurable to a wide range off applications. The ECA NMR is available from 300 to 930 MHz field strengths and is 1GHz ready. The system is designed around a modular, digital NMR electronics chassis controlled from a UNIX or Windows workstation and acquisition system. Both the workstation and spectrometer may be connected to a standard network, allowing seamless remote operation anywhere in the world.	WEB:<http://www.jeol.com/PRODUCTS/AnalyticalInstruments/NuclearMagneticResonance/ECA/tabid/146/Default.aspx>|http://msi-ontology.sourceforge.net/ontology/NMR.owl#msi_400228		PERSON:Daniel Schober		NMR instrument				JEOL NMR instrument					
OBI:0000642	atomic emission detector	atomic emission detector	metadata complete	AED	Instead of measuring simple gas phase (carbon containing) ions created in a flame as with the flame ionization detector, or the change in background current because of electronegative element capture of thermal electrons as with the electron capture detector, the AED has a much wider applicability because it is based on the detection of atomic emissions. The strength of the AED lies in the detector's ability to simultaneously determine the atomic emissions of many of the elements in analytes that elute from a GC capillary column (called eluants or solutes in some books). As eluants come off the capillary column they are fed into a microwave powered plasma (or discharge) cavity where the compounds are destroyed and their atoms are excited by the energy of the plasma. The light that is emitted by the excited particles is separated into individual lines via a photodiode array. The associated computer then sorts out the individual emission lines and can produce chromatograms made up of peaks from eluants that contain only a specific element.	WEB:<http://elchem.kaist.ac.kr/vt/chem-ed/sep/gc/detector/aed.htmt>|http://msi-ontology.sourceforge.net/ontology/CHROM.owl#msi_01086		PERSON:Daniel Schober						gas chromatography detector					
OBI:0000689	454 Genome Sequence 20	454 Genome Sequence 20	metadata complete	GS 20	is a DNA sequencer first manufactured by 454 Life Science Corporation in 2005, and enables pyrosequencing to be performed. It comprises both optics and fluidics subsystems, which are controlled by a computer subsystem. The fluidics subsystem ensures accurate reagent dispensing. It consists of a reagents cassette (which holds the reagent containers), a sipper manifold, pumps, valves, and debubblers. The fluidics subsystem flows the sequencing reagents across the wells of the PicoTiterPlate device, and moves the spent reagents from the PicoTiterPlate device to the waste receptacle. The optics subsystem consists of a CCD camera and a camera controller. The camera captures the light emitted in the wells of the PicoTiterPlate device during each step of the sequencing cycle, and sends the digital images to the computer subsystem for processing. The computer controls the other Sequencer subsystems, and processes the digital images sent by the camera to extract the DNA sequence information.		PMID: 18946007.Pyrosequencing analysis of the oral microflora of healthy adults.  Keijser BJ, Zaura E, Huse SM, van der Vossen JM, Schuren FH, Montijn RC, ten Cate JM, Crielaard W. J Dent Res. 2008 Nov;87(11):1016-20.	Philippe Rocca-Serra						DNA sequencer				Roche	
OBI:0000691	ABI 377 automated sequencer	ABI 377 automated sequencer	metadata complete		is a DNA sequencer which is manufactured by Applied Biosystems corporation (formerly Perkin-Elmer). It allows automated chain termination DNA sequencing. It has part polyacrylamide gel electrophoresis system and a laser -based detection system to detect fluorescence intensity emitted by the dyes attached to the dideoxyterminator nucleotides or to the primers.	Applied Biosystems		Philippe Rocca-Serra						DNA sequencer				Applied Biosystems	
OBI:0000696	AB SOLiD System	AB SOLiD System	metadata complete		is a DNA sequencer which is manufactured by Applied Biosystems and which enable DNA sequencing by ligation	Applied Biosystems	PMID: 19336255. RNA-Seq-quantitative measurement of expression through massively parallel RNA-sequencing. Wilhelm BT, Landry JR. Methods. 2009 Jul;48(3):249-57.	Philippe Rocca-Serra						DNA sequencer				Applied Biosystems	
OBI:0000702	454 Genome Sequencer FLX	454 Genome Sequencer FLX	metadata complete	454 GS FLX|GS-FLX	is a DNA sequencer which was first manufactured by 454 Life Science Corporation in 2008 and enables pyrosequencing to be performed. It comprises both optics and fluidics subsystems, which are controlled by a computer subsystem. The fluidics subsystem ensures accurate reagent dispensing. It consists of a reagents cassette (which holds the reagent containers), a sipper manifold, pumps, valves, and debubblers. The fluidics subsystem flows the sequencing reagents across the wells of the PicoTiterPlate device, and moves the spent reagents from the PicoTiterPlate device to the waste receptacle. The optics subsystem consists of a CCD camera and a camera controller. The camera captures the light emitted in the wells of the PicoTiterPlate device during each step of the sequencing cycle, and sends the digital images to the computer subsystem for processing. The computer controls the other Sequencer subsystems, and processes the digital images sent by the camera to extract the DNA sequence information.  It has the ability to sequence 400-600 million base pairs per run with 400-500 base pair read lengths.	adapted from https://www.roche-applied-science.com/servlet/RCProductDisplay?langId=-1&storeId=10202&productId=3.8.8.1.1.3&catalogId=10202&krypto=mgV8a0Sdps6%2BCXU8IoddmzNEyGgjde9j8MOFCiMzRsduELeenAlVZ%2FE1QR%2BxLpzNlqMZPLRHqaI%3D&ddkey=https:RCProductDisplay	PMID: 18616967. The Genome Sequencer FLX System--longer reads, more applications, straight forward bioinformatics and more complete data sets.  Droege M, Hill B.  J Biotechnol. 2008 Aug 31;136(1-2):3-10.	Philippe Rocca-Serra						DNA sequencer				Roche	
OBI:0000703	Illumina Genome Analyzer II	Illumina Genome Analyzer II	metadata complete		is a DNA sequence which is manufactured by Illumina (Solexa) corporation. it support sequencing of single or paired end clone libraries relying on sequencing by synthesis technology	Illumina Corporation	PMID: 19336255. RNA-Seq-quantitative measurement of expression through massively parallel RNA-sequencing. Wilhelm BT, Landry JR.Methods. 2009 Jul;48(3):249-57.	Philippe Rocca-Serra						DNA sequencer				Illumina	
OBI:0000710	Li-Cor 4300 DNA Analysis System	Li-Cor 4300 DNA Analysis System	metadata complete		is a DNA sequencer which is manufactured by Li-Cor corporation and enable automated chain termination based DNA sequencing	OBI and Li-Cor		Philippe Rocca-Serra						DNA sequencer				Li-Cor	
OBI:0000717	HeliScope Single Molecule Sequencer	HeliScope Single Molecule Sequencer	metadata complete		is a DNA sequencer manufacturer by Helicos Corporation to carry out Single Molecule sequencing using reversible termination chemistry			Philippe Rocca-Serra						DNA sequencer				Helicos	
OBI:0000784	anticoagulant-containing test tube	anticoagulant-containing test tube	metadata complete		A 'blue top' test tube that contains anticoagulant for storing blood specimens'			Person:Alan Ruttenberg		2009/09/28 Alan Ruttenberg. Fucoidan-use-case				test tube					('surrounded by' some ('has part' some ('has grain' some 'sodium citrate dihydrate')))
OBI:0000795	glucometer	glucometer	ready for release	glucose meter	A measurement device with the function to measure and record the level/amount of glucose in a blood sample	http://en.wikipedia.org/wiki/Glucose_meter	Diabetic patients use glucometers to determine their glucose levels	PERSON:Frank Gibson|PERSON:Helen Parkinson						device	measure function				
OBI:0000816	micro electrode	micro electrode	metadata complete	micro electrode measuring device	An electrode of very fine caliber consisting usually of a fine wire or a glass tube of capillary diameter drawn to a fine point and filled with saline or a metal used in physiological experiments to stimulate or record action currents of extracellular or intracellular origin in the nervous system.	Jessica Turner, Dirk Derom	A micro-electrode recording device used to record extracellular action potentialsin monkey caudate nucleus	Helen Parkinson, Jessica Turner, Dirk Derom						device	measure function				
OBI:0000832	measurement device	measurement device	ready for release		A device in which a measure function inheres.	OBI	A ruler, a microarray scanner, a Geiger counter.	GROUP:OBI Philly workshop					equivalent	device	measure function				
OBI:0000836	test tube	test tube	metadata complete	sample tube|collection tube	A test tube is a device consisting of a glass or plastic tubing, open at the top, usually with a rounded U-shaped bottom which has the function to contain material	http://en.wikipedia.org/wiki/Test_tube		Bjoern Peters						vial	contain function				
OBI:0000843	Sysmex CA-6000 Coagulation Analyzer	Sysmex CA-6000 Coagulation Analyzer	metadata complete		The Sysmex CA-6000 automated coagulation analyzer is a random access instrument that is capable of performing 20 clot-based and chromogenic assays	web:http://www.clinchem.org/cgi/content/full/43/9/1783@2009/08/06		Person:Alan Ruttenberg		2009/09/28 Alan Ruttenberg. Fucoidan-use-case				device	measure function			Sysmex Corporation, Kobe, Japan	
OBI:0000930	calorimeter	calorimeter	metadata complete	calorimetry instrument?	A measurement device that is used to calculate the heat flow of a chemical reaction or physical change.	http://chemistry.about.com/od/chemistryglossary/a/calorimeterdef.htm		PERSON:Bjoern Peters						device	measure function				
OBI:0000932	material separation device	material separation device	metadata incomplete		A device with a separation function realized in a planed process		flow cytometer						equivalent	device	material separation function				
OBI:0000933	positron emission tomography scanner	positron emission tomography scanner	metadata complete	PET scanner?	A device that produces a three-dimensional image or picture of functional processes in the body. It detects pairs of gamma rays emitted indirectly by a positron-emitting radionuclide (tracer), which is introduced into the body on a biologically active molecule.	http://en.wikipedia.org/wiki/Positron_emission_tomography		PERSON:Bjoern Peters						device	image acquisition function				
OBI:0000935	micromanipulator	micromanipulator	metadata complete		A device that is used to physically interact with a sample under a microscope, where a level of precision of movement is necessary that cannot be achieved by the unaided human hand.	http://en.wikipedia.org/wiki/Micromanipulator		PERSON:Bjoern Peters						device	mechanical function				
OBI:0000940	optical microscope	optical microscope	metadata complete		A microscope that produces an image of an object by targeting it with an electro-magnetic beam in the visible frequency range			PERSON:Bjoern Peters						microscope					
OBI:0000945	vibration isolation table	vibration isolation table	metadata complete		A device  that supports another device such as a precision instrument by isolating it from vibration that is transmitted from the floor.	United States Patent 6877711		PERSON:Bjoern Peters						device	environment control function				
OBI:0000948	oscilloscope	oscilloscope	metadata complete		A device that measures and displayes signal voltages, usually as a two-dimensional graph of one or more electrical potential differences (vertical axis) plotted as a function of time or of some other voltage (horizontal axis).	http://en.wikipedia.org/wiki/Oscilloscope		PERSON:Bjoern Peters						device	measure function				
OBI:0000955	electrode puller	electrode puller	metadata complete		A device used in the first step in making electrodes, that applies constant tension on a glass capillary tube and eventually breaks it while heating it; this produces a very fine point on the capillary tube.	http://faculty.plattsburgh.edu/donald.slish/Puller1.html		PERSON:Bjoern Peters						device	mechanical function				
OBI:0000959	vibrotome	vibrotome	metadata incomplete		A preparation device that uses a vibrating razor blade to cut through tissue.									device	material separation function|('realized in' only 'material component separation')				
OBI:0000967	container	container	metadata incomplete		A device that can be used to restrict the location of material entities over time			PERSON: Bjoern Peters	03/21/2010: Added to allow classification of children (similar to what we want to do for 'measurement device'. Lookint at what classifies here, we may want to reconsider a contain function assigned to a part of an entity is necessarily also a function of the whole (e.g. is a centrifuge a container because it has test tubes as parts?)				equivalent	device	contain function				
OBI:0000982	computed tomography scanner	computed tomography scanner	metadata complete	CT scanner|X-ray computed tomography scanner	An image acquisition device that generates a three-dimensional image of the inside of an object from a large series of two-dimensional X-ray images taken around a single axis of rotation.	http://en.wikipedia.org/wiki/X-ray_computed_tomography		PERSON:Bjoern Peters						device	image acquisition function				
OBI:0000989	PCR instrument	PCR instrument	metadata incomplete		A device that is used to amplify a single or few copies of a piece of DNA across several orders of magnitude, generating thousands to millions of copies of a particular DNA sequence.				03/21/2010: Added because it is unclear if the thermal cycler definition is intentionally broader than PCR instrument. Contacted Melanie and Trish about this. Definitions and use of alternative terms need to be made consistent.					thermal cycler	('realized in' only 'polymerase chain reaction')				
OBI:0000990	electron microscope	electron microscope	metadata incomplete		A microscope that produces an image of an object by targeting it with an electron beam									microscope					
OBI:0001002	Faraday cage	Faraday cage	metadata complete	Faraday shield	A device formed by conducting material or by a mesh of such material, that blocks out external static electric fields.	Wikipedia http://en.wikipedia.org/wiki/Faraday_cage		PERSON:Bjoern Peters		isolation function? HP				device	environment control function				
OBI:0001032	light emission device	light emission device	metadata complete		A device which has a function to emit light.	OBI	A light source is an optical subsystem that provides light for use in a distant area using a delivery system (e.g., fiber optics)	Person:Helen Parkinson					equivalent	device	light emission function				
OBI:0001033	perturbation device	perturbation device	metadata incomplete		A perturbation device is a device which is designed to perform a perturb function	OBI Vancouver workshop 2010|PERSON: Helen Parkinson	|A homogenizer is a perturbation device.	Helen Parkinson					equivalent	device	perturb function				
OBI:0001034	environmental control device	environmental control device	metadata complete		An environmental control device is a device which has the function to control some aspect of the environment such as temperature, or humidity.	OBI	A growth chamber is an environmental control device.	Helen Parkinson					equivalent	device	('heat function' or 'cool function' or 'environment control function')				
OBI:0001044	angiograph	angiograph	metadata complete		A device that records the patterns of pulse waves inside blood vessels.	http://medical-dictionary.thefreedictionary.com/angiograph		PERSON: Erik Segerdell						device	measure function|record function				
OBI:0001045	capillary blotter	capillary blotter	metadata complete		A device that is used to transfer nucleic acids from agarose gels onto a membrane, based on the movement of buffer from a reservoir through the gel and the blotting membrane to a stack of dry blotting paper by capillary force. The molecules are carried to the blotting membrane on which they are adsorbed.	http://www.biometra.de/		PERSON: Erik Segerdell						device	transfer function				
OBI:0001046	bioreactor	bioreactor	metadata complete		A device or system that supports a biologically active environment.	http://en.wikipedia.org/wiki/Bioreactor		PERSON: Erik Segerdell						device	environment control function|mechanical function				
OBI:0001047	pH meter	pH meter	metadata complete		A device that is used to measure the pH (acidity or alkalinity) of a liquid.	http://en.wikipedia.org/wiki/PH_meter		PERSON: Erik Segerdell						device	measure function				
