ontology ID	label	editor preferred term	has curation status	alternative term	definition	definition source	example of usage	term editor	editor note	curator note	ontology term requester	term tracker item	logical type	logical note	parent class	material processing technique	detection technique	evaluant	measurand	analyte	device	reagent	molecular label	input	output	target entity	target context	objective	associated axioms
OBI:0002036	array based nucleic acid structure mapping assay				An assay which aims to provide information about the in vivo organization/structure of nucleic acids using chemical or enzymatic probes using a microarray.	OBI:0000870	pmid:23580730	Janos Demeter|Chris Stoeckert				https://sourceforge.net/p/obi/obi-terms/725/	subclass		assay														
OBI:0002037	micrococcal nuclease digestion followed by tiling array assay				An array based nucleic acid structure mapping assay that identifies nucleosome positions genome wide, by detection of regions protected by nucleosomes from digestion by micrococal nuclease using tiling array assays		pmid:17873876	Janos Demeter|Chris Stoeckert				https://sourceforge.net/p/obi/obi-terms/725/	subclass		array based nucleic acid structure mapping assay														
OBI:0002038	ribosomal profiling by sequencing assay			ribosomal profiling|Ribo-seq|Ribo-seq assay	A RNA-seq assay that sequences only mRNA protected by the ribosome during translation.	PMID:24468696	Aspden et al., (August 2014). ""Extensive translation of small open reading frames revealed by poly-ribo-seq."" eLIFE 2014;3:e03528	Venkat Malladi|Chris Stoeckert|Jie Zheng					subclass		RNA-seq assay														
OBI:0002039	assay for transposase-accessible chromatin using sequencing			ATAC-seq|ATAC-seq assay	An assay to capture the location of open chromatin, DNA-binding proteins, individual nucleosomes and chromatin compaction at nucleotide resolution by Tn5 transposase insertion.	PMID:24097267	Kasinathan et al., (February 2014). ""High-resolution mapping of transcription factor binding sites on natitve chromatin."" Nat Methods 11(2):203-9. doi: 10.1038/nmeth.2766.	Venkat Malladi|Chris Stoeckert|Jie Zheng					subclass		assay														
OBI:0002040	chromatin isolation by RNA purification sequencing assay			ChIRP-seq|Chromatin Isolation by RNA purification|ChIRP-seq assay	A detection of specific nucleic acids with complementary probes assay that measures regions of the genome which are bound by a specific RNA (or a by a ribonucleoprotein containing the RNA of interest) using high-throughput sequencing.	PMID:21963238	Csorba et al., (November 2014). ""Antisense COOLAIR mediates the coordinated switching of chromatin states at FLC during vernalization."" Proc Natl Acad Sci 111(45):16160-5. doi: 10.1073/pnas.1419030111.	Venkat Malladi|Chris Stoeckert|Jie Zheng					subclass		detection of specific nucleic acid polymers with complementary probes		DNA sequencing assay												
OBI:0002041	self-transcribing active regulatory region sequencing assay			self-transcribing active regulatory region sequencing|STARR-seq assay|STARR-seq	An RNA-seq assay that identifies the sequences that act as transcriptional enhancers in a direct, quantitative, and genome-wide manner from sheared genomic DNA.	PMID:23328393	Bohla et al., (September 2014). ""A functional insulator screen identifies NURF and dREAM components to be required for enhancer-blocking."" PLoS One 9(9):e107765. doi: 10.1371/journal.pone.0107765.	Venkat Malladi|Chris Stoeckert|Jie Zheng					subclass		RNA-seq assay														
OBI:0002042	carbon-copy chromosome conformation capture assay followed by sequencing assay			HiC|Carbon-copy chromosome conformation capture assay followed by sequencing|HiC assay	A carbon-copy chromosome conformation capture assay to analyze the organization of chromosomes in an unbiased, genome-wide manner using high throughput sequening following carbon-copy chromosome conformation capture.	PMID:19815776	Fudenberg et al., (November 2014). ""High order chromatin architecture shapes the landscape of chromosomal alterations in cancer."" Nat Biotechol 29(12):1109-13. doi: 10.1038/nbt.2049.	Venkat Malladi|Chris Stoeckert|Jie Zheng					subclass		Carbon-copy chromosome conformation capture assay														
OBI:0002043	individual-nucleotide resolution cross-linking and immunoprecipitation sequencing assay			iCLIP assay|individual-nucleotide resolution cross-linking and immunoprecipitation|iCLIP	A cross-linking immunoprecipitation high-throughput sequencing assay that identifies protein-RNA interactions using UV light to covalently bind proteins and RNA molecules, allowing for a very stringent purification of the linked protein-RNA complexes.	doi:10.1016/j.ymeth.2013.10.011	Protein-RNA interactions: new genomic technologies and perspectives. Nature Reviews Genetics 13 (2): 77-83. doi:10.1038/nrg3141	Venkat Malladi|Chris Stoeckert|Jie Zheng					subclass		cross-linking immunoprecipitation high-throughput sequencing assay														
OBI:0002044	RNA Bind-n-Seq assay			RNA Bind-n-Seq|RNBS assay|RBNS	An RNA-seq assay that comprehensively characterizes sequence and structural specificity of RNA binding proteins (RBPs).	doi: 10.1016/j.molcel.2014.04.016		Venkat Malladi|Chris Stoeckert|Jie Zheng					subclass		RNA-seq assay														
OBI:0002045	polyA-site sequencing assay			PAS-seq|PAS-seq assay|Poly(A)-site sequencing|poly(A)-site sequencing assay	A RNA-seq assay that quantitatively profiles RNA polyadenylation at the transcriptome level.	doi: 10.1261/rna.2581711	Wu et al., (July 2014). ""Genome-wide determination of poly(A) sites in Medicago truncatula: evolutionary conservation of alternative poly(A) site choice. BMC Genomics. 2014 Jul 21;15:615. doi: 10.1186/1471-2164-15-615.	Venkat Malladi|Chris Stoeckert|Jie Zheng					subclass		RNA-seq assay														
OBI:0002082	reporter gene assay		pending final vetting	reporter gene detection assay	An assay that detects expression of a reporter gene that was inserted under the control of a regulatory sequence of interest.	Paul D. Thomas, Yang Chai; FaceBase		Chris Stoeckert|Paul D. Thomas				https://github.com/obi-ontology/obi/issues/781	subclass		assay														
OBI:0002083	enhancer activity detection by reporter gene assay		pending final vetting	enhancer reporter gene assay	A reporter gene assay that detects expression of a reporter gene that was inserted under the control of an enhancer of interest.	FaceBase|PMID 24614317	PMID 19268701: ""we experimentally concatenated up to four enhancers from different genes and used a transgenic mouse assay to compare the in vivo activity of these compound elements with that of the single modules""	Paul D. Thomas|Yang Chai				https://github.com/obi-ontology/obi/issues/781	subclass		reporter gene assay														
OBI:0002084	transcription cofactor activity region identification by ChIP-Seq assay			chromatin modifier binding site identification by ChIP-Seq assay	A ChIP-seq assay that identifies regions of chromatin bound to a chromatin modifying protein, e.g. a histone acetyltransferase.	PMID:19212405	PMID 19212405: ""we present the results of chromatin immunoprecipitation with the enhancer-associated protein p300 followed by massively parallel sequencing, and map several thousand in vivo binding sites of p300 in mouse embryonic forebrain, midbrain and limb tissue""	Paul D. Thomas|Yang Chai				https://github.com/obi-ontology/obi/issues/782	subclass		ChIP-seq assay														
OBI:0002085	transcript expression location detection by hybridization chain reaction assay		pending final vetting	transcript expression location detection by fluorescent HCR.	An in situ hybridization assay in which the location (e.g. anatomical/tissue) of a transcript is detected by a multiplexed fluorescent in situ hybridization, based on orthogonal amplification with hybridization chain reactions (HCR). RNA probes complementary to mRNA targets trigger chain reactions in which fluorophore-labeled RNA hairpins self-assemble into tethered fluorescent amplification polymers.	PMID:21037591	PMID 25977364: ""Multiplexed imaging of mRNA expression using fluorescent hybridization chain reaction (HCR) quantitatively confirmed the expression profiles of lead cells""	Paul D. Thomas|Yang Chai				https://github.com/obi-ontology/obi/issues/783	subclass		in-situ hybridization assay														
OBI:0002086	Tet-assisted bisulfite sequencing assay		ready for release	TAB-seq|Tet-assisted bisulfite sequencing	A bisulfite sequencing assay that identifies genomic methylation patterns by using a bisulfite based protocol with the Tet enzyme to differentiate 5-hydroxylmethylcytosine (5hmC) from 5-methylcytosine (5mC) through a step-wise oxidative demethylation of 5mC, converting it to 5-carboxylcytosine (5caC) while keeping 5hmC protected.	PMID:23196972		Jason Hilton|Chris Stoeckert|Bjoern Peters|OBI				http://sourceforge.net/p/obi/obi-terms/789/	subclass		bisulfite sequencing assay														
OBI:0002094	MethylC-Capture sequencing assay		ready for release	Capture Methylome|MCC-Seq|MethylC-Capture Sequencing	A bisulfite sequencing assay in which a whole-genome sequencing library is prepared, bisulfite converted and amplified, followed by a capture enriching for targeted bisulfite-converted DNA fragments that are are subsequently identified by DNA sequencing.	PMID:26021296	MethylC-Capture Sequencing approach was introduced as a cost-effective and customizable alternative method for large-scale interrogation of functionally-active methylomes while simultaneously providing genetic variation information in a proof-of-concept epigenome-wide association study of 72 obese individuals, identifying novel disease-associated variants.	David Bujold|Chris Stoeckert					subclass		bisulfite sequencing assay														
OBI:0002106	carboxyfluorescein succinimidyl ester staining assay			CFSE assay	a assay detecting a molecular label assay where the amount of carboxyfluorescein succinimidyl ester is measured using fluorescence detection.	IEDB	Measuring T cell proliferation based on the progressive halving of CFSE fluorescence within daughter cells following each cell division.	IEDB					subclass	logical definition does not capture daughter cells	assay detecting a molecular label		fluorescence detection assay												
OBI:0002107	bio-layer interferometry assay			biolayer interferometry, BLI	A binding assay that detects a shift in the interference pattern reflected from a layer of immobilized material on the biosensor tip to measure binding to- or dissociating from the material on the biosensor.	IEDB	Detecting the presence of an antibody in a cell culture supernatant by detecting a shift in the interference pattern reflected from a layer of immobilized protein to which the antibody binds.	IEDB					subclass	logical definition does not capture shift in patter	binding assay														
OBI:0002108	small-angle scattering 3D molecular structure determination assay			SAXS	A 3D molecular structure determination assay in which the scattering pattern of a neutron or x-ray beam targeted at a material entity is recorded at small angles relative to the incident beam to determine the size, shape and structure of the material entity examined.	IEDB	Targeting a solution of antibody bound to a protein with a neutron beam to determine the binding site of the antibody on the protein	IEDB					subclass	logical definition does not capture neutrino beam	3D molecular structure determination assay														
OBI:0002111	enhanced cross-linking immunoprecipitation high-throughput sequencing assay		ready for release	eCLIP	An iCLIP assay that is enhanced to robustly identify protein-RNA interactions with high efficiency through improvements in library preparation of RNA fragments.	PMID:27018577		Jason Hilton|Chris Stoeckert					subclass		individual-nucleotide resolution cross-linking and immunoprecipitation sequencing assay														
OBI:0002112	small RNA sequencing assay		ready for release	short RNA-seq|small RNA-seq	An RNA-seq assay which is targeting small RNA (< 200 bp) sequences such as, but not exclusive to, miRNAs using, for example, small RNA library preparation kits.	url:http://science.sciencemag.org/content/316/5830/1484.full|url:http://www.illumina.com/techniques/sequencing/rna-sequencing/small-rna-seq.html		Jason Hilton|Mark A. Miller|Chris Stoeckert				https://github.com/obi-ontology/obi/issues/859	subclass		RNA-seq assay														
OBI:0002113	bromouridine labeling and sequencing assay		ready for release	Bru-seq	An RNA-seq assay to identify spans of nascent transcription in the genome through isolation of recent bromouridine (Bru) labelled RNAs.	PMC:4009065		Jason Hilton|Chris Stoeckert					subclass		RNA-seq assay														
OBI:0002114	bromouridine pulse-chase and sequencing assay		ready for release	BruChase-seq	An RNA-seq assay to identify RNA populations of specific ages through isolation of RNAs first labelled with bromouridine (Bru) followed by chasing in uridine for different periods of time.	PMC:4009065		Jason Hilton|Chris Stoeckert					subclass		RNA-seq assay														
OBI:0002115	cytometry time of flight assay			CyTOF|mass cytometry assay	A cytometry assay in which the presence of molecules of interest on or in cells is indicated by binding of antibodies labeled with rare earth element tags which are detected by time-of-flight mass spectrometry.	PMID:26190063	Whole human blood samples were incubated with lipopolysaccharide (LPS) to examine dose-dependent signaling responses within the toll-like receptor 4 (TLR4) pathway. After LPS stimulation, rare earth metal tagged antibodies against phenotypic markers were used to stain the blood sample (Nd143-CD45RA, Nd145-CD4, Er170-CD3, Sm152-TCR__, Pr141-CD7, Nd146-CD8, Nd142-CD19). A Fluidigm CyTOF version 1 instrument equipped with CyTOF software version 5.1.648 was used to measure and analyze the levels of antibody staining refelctive of the level of expression of those surface receptors.	ImmPort					subclass	logical definition does not capture ""time of flight"" part	cytometry assay		mass spectrometry assay						rare earth metal atom						
OBI:0002116	high performance liquid chromotography assay			HPLC	An analytical chromatography assay that utilizes a high performance liquid chromatography instrument for separation of compounts in a solution.	PMID:9491555	On-line coupled immunoaffinity chromatography-reversed-phase high-performance liquid chromatography (IAC-HPLC) with detection by quadrupole ion trap mass spectrometry using a particle beam interface has been developed for the determination of the steroids, dexamethasone and flumethasone. HEMA (polyhydroxyethylmethacrylate) was evaluated as a support material for the anti-dexamethasone antibodies used in IAC. Antibody cross-reactivity and non-specific binding have been investigated for the HEMA bound anti-dexamethasone IAC column. The on-line IAC-HPLC-MS determination of dexamethasone and flumethasone in post-administration equine urine samples showed precisions (R.S.D.) of 8.0 and 7.1%, respectively, with limits of detection in the range 3-4 ng/ml.	ImmPort					equivalent		analytical chromatography						high performance liquid chromatography instrument								
OBI:0002117	whole genome sequencing assay			WGS	A DNA sequencing assay that intends to provide information about the sequence of an entire genome of an organism.	PMID:25827230|PMID:23095910	WGS permits comprehensive sequencing of introns and exons, whereas whole exome sequencing (WES) allows deeper sequencing of exonic regions at a lower cost. Due to the large number of genetic variants found in each genome, it is necessary to use filtering approaches to distinguish deleterious from benign variants. WES has been used successfully to identify novel genetic causes of primary immunodeficiency. Complex structural variations and non-Mendelian disorders remain challenges for WGS.	ImmPort	Genotyping assays should ideally identify which part of the genome the information is about. We do not currently have a good way to do this. That information should be added later.				subclass	logical definition does not capture what the output is about	DNA sequencing assay														
OBI:0002118	exome sequencing assay			WES	A DNA sequencing assay that intends to provide information about the sequence of the protein coding components of a genome (exons).	PMID:25827230	DNA was extracted from the Ficoll pellet of blood taken from congenital asplenia patients. Unamplified, high-molecular weight, RNase-treated genomic DNA (4_6 _g) was used for whole exome sequencing (WES) with the use of Agilent 71 Mb (V4 + UTR) singlesample capture and an Illumina HiSeq 2000. Sequencing was carried out so as to obtain 30_ coverage from 2 _ 100-bp paired-end reads. We used the Annovar tool (25) to annotate the resulting highquality (HQ) variants. In the regions targeted by WES capture (81.5% of the consensus coding genome), the mean numbers of single-nucleotide variants (SNVs) and small insertions/deletions (indels) detected per sample were 84,192 and13,325, respectively. After filtering, a mean of 74,398 (95.3%) high-quality (HQ) SNVs and 9,033 (70.6%) HQ indels were called. A mean of 105 coding HQ SNVs and 32 indels was identified.	ImmPort					subclass	logical definition does not capture exons	DNA sequencing assay														
OBI:0002119	microscopy assay				An imaging assay that utilizes a microscope to magnify features of the visualized material of interest that are not visible to naked eye.	PMID:21685355	Lung, liver, and spleen tissue samples were collected from female BALB/c mice and fixed in 100% formalin solution, embedded in paraffin, sectioned, and stained with hematoxylin and eosin. The stained samples were examined for signs of pathological changes under light microscopy.	ImmPort					equivalent		imaging assay						microscope								
OBI:0002120	mixed lymphocyte reaction assay			MLR	A cytometry assay where lymphocytes from two individuals are co-cultured with the lymphocytes from one of the allogeneic individuals (Responders) being labeled (with 3H Thymidine or BrdU) and the proliferation of the labeled cells is measured, which is thought to reflect recognition of histocompatibility antigens on the unlabeled cells (stimulators).	PMID:14969764	T cells were separated from PBL of laboratory volunteers and used as responder cells (R). Mitomycin C-treated allogeneic mAPC enriched populations were used as stimulators (S), incubated for 5 days, pulsed with 3H-thymidine (3H-TdR) for 16 hours, harvested, and radioactivity counted using a beta scintillation counter to measure proliferation of the 3H-thymidine labeled cells.	ImmPort					subclass	logical definition does not capture culturing	cytometry assay							molecular label							
OBI:0002121	killer cell immunoglobulin-like receptor typing assay			KIR typing	A genotyping assay in which the alleles of genes encoding for killer cell immunoglobulin-like receptors are determined.	PMID:21239231	DNA was isolated from PBMCs from healthy donors.The single-nucleotide polymorphism (SNP) assay was performed on an HT7900 Sequence Detection System (Applied Biosystems) following the allelic discrimination assay protocol provided by the manufacturer. Primers for the assay were designed in such a way that they amplified all the alleles of a particular HLA type (HLA-B or HLA-C) as well as the amplicon containing the polymorphic region of interest. Two probes were designed with a single mismatch between them. Each probe bound only one group of alleles and was labeled with either 6FAM or VIC fluorescent dye at its 5_ end. The 3_ end of the probes contained a quencher. For KIR2DL1 functional allele typing, the probe was designed based on a single-nucleotide mismatch at amino acid position 245 in the mature protein. A universal primer was designed that could specifically amplify all the alleles of KIR2DL1.The SNP assay was run on the HT7900 using the same protocol as described for KIR ligand typing. Results showed that 20 individuals had only arginine at amino acid position 245 of KIR2DL1, 5 were heterozygous for arginine and cysteine, and 1 had only cysteine in that position.Thus, this approach was useful not only for the identification of functional groups of KIR alleles, but also for determining the presence of the KIR gene itself.	ImmPort	Genotyping assays should ideally identify which part of the genome the information is about. We do not currently have a good way to do this. That information should be added later.				subclass	logical definition does not capture what part of the genome the output is about	genotyping assay														
OBI:0002122	major histocompatibility typing assay			MHC typing, HLA typing	A genotyping assay in which the alleles of genes encoding for major histocompatibility complex molecules are determined.	PMID:27516207|PMC:2628004	Blood samples from Holstein-Friesian heifer calves were used to isolate white blood cell (WBC) pellets, from which total RNA was extracted using Tri-reagent and cDNA generated using a Reverse Transcription Kit, both_ according to the manufacturers? instructions. An alignment of sequences of known bovine MHCI gene cDNAs, as presented in the IPD-MHC database (May 2014), was used to design a series of 3_ (for) and 5_ (rev) pan-MHCI primers. cDNA from individual animals was subject to PCR amplification in two separate reactions using either the For1/Rev2 or the For3/Rev1 primer pairs. For each sample primers using a unique combination of MID tags were used to allow subsequent de-multiplexing of the sequence data. PCRs were conducted using the Phusion High-Fidelity PCR kit. Following amplification, 5?_l of PCR products from each sample were pooled, purified using Agencourt AMPure XP Beads and run on a 1.5?% agarose gel. Bands of the appropriate size_ were extracted and purified using the Qiagen Gel extraction kit. Libraries were submitted to Edinburgh Genomics where after standard quality control procedures they underwent 300 base paired-end sequencing on an Illumina MiSeq v3. Data were separated into reads generated from For1Rev2 and For3Rev1 primer pairs, generating separate datasets for up to 192 samples. Within each sample, reads were clustered into unique variants which were subsequently compared using BLAST against a database of the previously identified bovine MHCI sequences. This process identified >140 novel classical MHCI genes and defined 62 novel MHCI haplotypes, dramatically expanding the known bovine MHCI repertoire.	IEDB	Genotyping assays should ideally identify which part of the genome the information is about. We do not currently have a good way to do this. That information should be added later.				subclass	logical definition does not capture what part of the genome the output is about	genotyping assay														
OBI:0002132	pulse stable isotope labeling by amino acids in cell culture			dynamic SILAC|pulse SILAC|pulsed SILAC	An assay that detects differences in protein abundance using samples that have been metabolically labeled in vivo with a stable non-radioactive heavy isotope containing amino acid for a short period of time. After diluting the pulsed cells into growth media without label, high resolution mass spectrometry-based proteomics is used to analyze the time-dependent decay and determine protein stability.	PMID:19053139|PMID:18954100		Rob Nash					subclass		assay														
OBI:0002140	temperature measurement assay		ready for release		An assay to determine the temperature of an evaluant.	OBI		Chris Stoeckert|Bjoern Peters					subclass		assay										('measurement datum' and ('has value specification' some 'temperature value specification'))				
OBI:0002141	volume measurement assay		ready for release		An assay to determine the volume of an evaluant.	OBI		Chris Stoeckert|Bjoern Peters					subclass		assay										('measurement datum' and ('has value specification' some 'volume value specification'))				
OBI:0002142	Nanostring nCounter miRNA expression assay		ready for release	microRNA counts	A microRNA profiling assay using digital molecular barcoding technology to quantify target microRNA molecules without the need for amplification.	PMID:26729350|url:http://www.nanostring.com/applications/technology		Jason Hilton|Chris Stoeckert			ENCODE DCC	https://github.com/obi-ontology/obi/issues/806	subclass		microRNA profiling assay														
OBI:0002143	bromouride labeling and sequencing after UV exposure		ready for release	BruUV-seq	An RNA-seq assay to identify transcription start sites and active enhancer elements through isolation of bromouridine (Bru) labelled RNAs after UV light exposure introduces transcription-blocking lesions.	PMC:4675984		Jason Hilton|Chris Stoeckert			ENCODE DCC	https://github.com/obi-ontology/obi/issues/827	subclass		RNA-seq assay														
OBI:0002144	extrachromosomal circular DNA sequencing assay		ready for release	eccDNA-seq|circulome-seq	An assay which aims at identifying the endogenous population of extrachromosomal circular DNA originating from a subset of genomic loci and potentially having profound consequences on the regulatory and coding capabilities of these regions. The assay includes creation of a library out of the circular DNA molecules and subsequent sequencing using parallelized sequencing methods.	url:http://biorxiv.org/content/early/2017/04/19/128686		Jason Hilton|Chris Stoeckert			ENCODE DCC	https://github.com/obi-ontology/obi/issues/830	subclass		DNA sequencing assay														
OBI:0002145	antigen specific antibodies assay				An analyte assay that measures the presence or amount of antibodies to a specified antigen.	OBI	Test performed using antibodies produced by human B-cells that bind with human immunodeficiency virus (HIV) antigens	Chris Stoeckert|Bjoern Peters|Randi Vita|James Overton			NCI BBRB	https://github.com/obi-ontology/obi/issues/825	subclass		analyte assay														
OBI:0002146	HIV antibody assay			HIV I/II Ab assay	An antigen specific antibodies assay that is meant to detect antibodies that bind to human immunodeficiency virus (HIV) antigens.	OBI		Chris Stoeckert|Bjoern Peters|Randi Vita|James Overton	HIV-1 and HIV-2 are two different viruses (http://i-base.info/qa/36)		NCI BBRB	https://github.com/obi-ontology/obi/issues/825	subclass		antigen specific antibodies assay					('immunoglobulin complex' and ('has disposition to bind' some ('Human immunodeficiency virus 1' or 'Human immunodeficiency virus 2')))									
OBI:0002147	HIV group O antibody assay			HIV I/II Plus O assay	An antigen specific antibodies assay that is meant to detect antibodies that bind to human immunodeficiency virus (HIV) group O antigens.	OBI		Chris Stoeckert|Bjoern Peters|Randi Vita|James Overton	https://www.cdc.gov/mmwr/preview/mmwrhtml/00042810.htm		NCI BBRB	https://github.com/obi-ontology/obi/issues/825	subclass		antigen specific antibodies assay					('immunoglobulin complex' and ('has disposition to bind' some ('Human immunodeficiency virus 1' or 'Human immunodeficiency virus 2' or 'HIV-1 group O')))									
OBI:0002148	surface HBV antibody assay			HBsAb assay	An antigen specific antibodies assay that is meant to detect antibodies that bind to hepatitis B virus (HBV) surface antigens.	OBI		Chris Stoeckert|Bjoern Peters|Randi Vita|James Overton			NCI BBRB	https://github.com/obi-ontology/obi/issues/825	subclass		antigen specific antibodies assay					('immunoglobulin complex' and ('has disposition to bind' some 'Hepatitis B virus'))									
OBI:0002149	core HBV antibody assay			HBcAb assay	An antigen specific antibodies assay that is meant to detect antibodies that bind to hepatitis B virus (HBV) core antigens.	OBI		Chris Stoeckert|Bjoern Peters|Randi Vita|James Overton			NCI BBRB	https://github.com/obi-ontology/obi/issues/825	subclass		antigen specific antibodies assay					('immunoglobulin complex' and ('has disposition to bind' some 'Hepatitis B virus'))									
OBI:0002150	core HBV IgM antibody assay			HBcAb-IgM assay	An antigen specific antibodies assay that is meant to detectimmunoglobulin M (IgM) antibodies that bind to hepatitis B virus (HBV) core antigens.	OBI		Chris Stoeckert|Bjoern Peters|Randi Vita|James Overton			NCI BBRB	https://github.com/obi-ontology/obi/issues/825	subclass		antigen specific antibodies assay					('immunoglobulin complex' and ('has disposition to bind' some 'Hepatitis B virus'))									
OBI:0002151	HCV antibody assay			HCV Ab assay	An antigen specific antibodies assay that is meant to detect antibodies that bind to Hepacivirus C (HCV) antigens.	OBI		Chris Stoeckert|Bjoern Peters|Randi Vita|James Overton			NCI BBRB	https://github.com/obi-ontology/obi/issues/825	subclass		antigen specific antibodies assay					('immunoglobulin complex' and ('has disposition to bind' some 'Hepacivirus C'))									
OBI:0002152	EBV IgG antibody assay			EBV IgG Ab assay	An antigen specific antibodies assay that is meant to detect immunoglobulin G (IgG) antibodies that bind to Epstein-Barr virus (EBV) antigens.	OBI		Chris Stoeckert|Bjoern Peters|Randi Vita|James Overton			NCI BBRB	https://github.com/obi-ontology/obi/issues/825	subclass		antigen specific antibodies assay					('immunoglobulin complex' and ('has disposition to bind' some 'Human gammaherpesvirus 4'))									
OBI:0002153	EBV IgM antibody assay			EBV IgM Ab assay	An antigen specific antibodies assay that is meant to detect immunoglobulin M (IgM) antibodies that bind to Epstein-Barr virus (EBV) antigens.	OBI		Chris Stoeckert|Bjoern Peters|Randi Vita|James Overton			NCI BBRB	https://github.com/obi-ontology/obi/issues/825	subclass		antigen specific antibodies assay					('immunoglobulin complex' and ('has disposition to bind' some 'Human gammaherpesvirus 4'))									
OBI:0002154	CMV antibody assay			CMV Ab assay	An antigen specific antibodies assay that is meant to detect antibodies that bind to cytomegalovirus (CMV) antigens.	OBI		Chris Stoeckert|Bjoern Peters|Randi Vita|James Overton			NCI BBRB	https://github.com/obi-ontology/obi/issues/825	subclass		antigen specific antibodies assay					('immunoglobulin complex' and ('has disposition to bind' some 'Cytomegalovirus'))									
OBI:0002155	venereal disease research laboratory test			VDRL test	An analyte assay that is meant to detect general antibodies that react with substances that are produced by cellular damage caused by Treponema pallidum indicating a syphilis infection. VDRL tests require a microscope and can be done on cerebrospinal fluid as well as blood.	OBI		Chris Stoeckert|Bjoern Peters|Randi Vita|James Overton			NCI BBRB	https://github.com/obi-ontology/obi/issues/825	subclass		analyte assay					immunoglobulin complex									
OBI:0002156	rapid plasma reagin test			RPR assay	An analyte assay that is meant to detect with the aid of carbon or charcoal particles general antibodies that react with substances that are produced by cellular damage caused by Treponema pallidum indicating a syphilis infection. RPR tests can be done without a microscope.	url:http://www.differencebetween.net/science/health/difference-between-vdlr-and-rpr/		Chris Stoeckert|Bjoern Peters|Randi Vita|James Overton			NCI BBRB	https://github.com/obi-ontology/obi/issues/825	subclass		analyte assay					immunoglobulin complex									
OBI:0002157	HBV surface antigen assay			HBsAg assay	An analyte assay that is meant to detect hepatitis B virus (HBV) surface antigens.	OBI		Chris Stoeckert|Bjoern Peters|Randi Vita|James Overton			NCI BBRB	https://github.com/obi-ontology/obi/issues/825	subclass		analyte assay				Hepatitis B virus										
OBI:0002158	HIV-1 nucleic acid testing			HIV-1 NAT	An analyte assay that is meant to detect human immunodeficiency virus (HIV-1) nucleic acids.	OBI		Chris Stoeckert|Bjoern Peters|Randi Vita|James Overton			NCI BBRB	https://github.com/obi-ontology/obi/issues/825	subclass		analyte assay					('nucleic acid' and ('part of' some 'Human immunodeficiency virus 1'))									
OBI:0002159	HCV nucleic acid testing			HCV NAT	An analyte assay that is meant to detect hepatitis C virus (HCV) nucleic acids.	OBI		Chris Stoeckert|Bjoern Peters|Randi Vita|James Overton			NCI BBRB	https://github.com/obi-ontology/obi/issues/825	subclass		analyte assay					('nucleic acid' and ('part of' some 'Hepacivirus C'))									
OBI:0002160	multiplexed indexed T7 ChIP-seq assay		ready for release	Mint-ChIP|Mint-ChIP-seq	A ChIP-seq assay which leverages T7 promoter amplification to allow low sample input and chromatin barcoding and pool-and-split multiplexing for high-throughput, quantitative profiling of chromatin states.	url:http://www.cell.com/molecular-cell/abstract/S1097-2765(15)00863-1		Jason Hilton|Chris Stoeckert			ENCODE DCC	https://github.com/obi-ontology/obi/issues/829	subclass		ChIP-seq assay														
OBI:0002161	systematic evolution of ligands by exponential enrichment assay			SELEX	A binding assay that identifies protein-binding sites on nucleic acids by selecting high-affinity target ligands from a randomized pool. The process is repeated in rounds, then the bound nucleic acids are separated from the unbound nucleic acids and amplified by PCR._	PMID:21720957		Rebecca Jackson					subclass		binding assay														
OBI:0002162	footprinting assay				An assay that measures ligand binding and conformational changes by the solvent accessibility of the backbone, bases, or side-chain structures of macromolecules through their sensitivity to chemical or enzymatic cleavage or modification reactions.	doi:10.1002/3527600906.mcb.200300025		Bjoern Peters					subclass		assay														
OBI:0002163	DNAse footprinting assay				An enzymatic footprinting assay that determines protein-binding sites on DNA by identifying bound fragments that are protected from DNAse I-catalyzed hydrolysis	OBI development call		Rebecca Jackson					subclass		footprinting assay														
OBI:0002164	mammalian 2-hybrid assay				A binding assay that increases the expression of a reporter gene in mammalian cells by proteins of interest attached to two portions of the transcriptional activator, bringing those portions closer together.	PMID:9043710|ECO:0001095		Rebecca Jackson					subclass		binding assay														
OBI:0002165	protein localization assay				An assay that determines the specific location of a protein. Subcellular localization is distinguished from tissue-based localization based on the type of microscopy applied.	OBI development call		Rebecca Jackson					subclass		assay														
OBI:0002166	tissue-based protein localization assay				A protein localization assay that determines the specific location of a protein in a living tissue sample.	PMID:14686950		Rebecca Jackson					subclass		protein localization assay														
OBI:0002167	subcellular protein localization assay				A protein localization assay that determines the specific subcellular location of a protein. The location is visualized through electron microscopy.	ECO		Rebecca Jackson					subclass		protein localization assay						electron microscope								
OBI:0002168	subcellular protein immunohistochemistry assay				An immunohistochemistry assay that uses antibodies to display the specific subcellular location of proteins.	ECO		Rebecca Jackson					subclass		immunohistochemistry														
OBI:0002169	ChIP-qPCR assay				A ChIP assay that uses quantitative PCR to determine levels of specific DNA in immunoprecipitated samples.	PMID:18388953		Chris Stoeckert					subclass		ChIP assay		real time polymerase chain reaction assay												
OBI:0002170	genomic SELEX				A systematic evolution of ligands by exponential enrichment assay that starts with a library derived from genomic DNA instead of synthetically derived random DNA molecules.	PMID:20541015		Chris Stoeckert					subclass		systematic evolution of ligands by exponential enrichment assay														
