Ontology ID	label	definition	term editor	definition Source	alternative term	logical type	parent class	planned objective	Input	output	material processing	device	associated axioms
OBI:0003132	endonuclease mediated mutagenesis	A directed mutagenesis in which guide RNAs and an endonuclease (cas9, TALEN) are used to introduce a mutation at a specific location in a gene.				subclass	directed mutagenesis						
OBI:0003134	TALEN mediated mutagenesis	An endonuclease mediated mutagenesis in which guide RNAs and transcription activator-like effector nucleases (TALENs) are used to introduce a mutation at a specific location in the genome.				subclass	endonuclease mediated mutagenesis						
OBI:0003133	cas mediated mutagenesis	An endonuclease mediated mutagenesis in which guide RNAs and cas are used to introduce a mutation at a specific location in the genome.			CRISPR mediated mutagenesis|CRISPR/cas mediated mutagenesis	subclass	endonuclease mediated mutagenesis						
OBI:0003135	zinc finger mediated mutagenesis	An endonuclease mediated mutagenesis in which synthetic zinc-finger proteins designed to target specific DNA sequences are used to introduce a mutation at a specific location in the genome.			ZFN mediated mutagenesis	subclass	endonuclease mediated mutagenesis						
OBI:0003139	targeted mutagenesis	A directed mutation in which a construct is used to introduce a mutation into a specific genome location through homologous recombination.			gene targeting by homologous recombination	subclass	directed mutagenesis						
OBI:0002625	gene knockdown	A genetic transformation which reduces the expression of a specific gene or genes in an organism.			gene knock-down	subclass	genetic transformation						
OBI:0002626	RNAi gene knockdown	A gene knockdown that silences genes through artificially-induced RNA interference. This is accomplished by introducing small double-stranded interfering RNA complementary to the target mRNA to be silenced, which is then cleaved by a ribonuclease.			RNA interference gene knockdown	subclass	gene knockdown				transfection		
OBI:0600059	DNA transduction	A genetic transformation which relies on the use of lysogenic infection to transfer DNA sequences into an organism				subclass	genetic transformation		Viruses				
OBI:0600054	selection by survival	The use of environmental conditions to select for the organism or cells that have a certain trait				subclass	material processing	material transformation objective					
OBI:0600058	enzymatic amplification	The use of enzymes to increase the number of molecules of a biomaterial				subclass	material processing	material transformation objective	('material entity' and ('has role' some 'nucleic acid template role'))				(realizes some (function and ('inheres in' some enzyme)))
OBI:0000415	polymerase chain reaction	PCR is the process in which a DNA polymerase is used to amplify a piece of DNA by in vitro enzymatic replication. As PCR progresses, the DNA thus generated is itself used as a template for replication. This sets in motion a chain reaction in which the DNA template is exponentially amplified.			PCR	subclass	enzymatic amplification	material transformation objective	deoxyribonucleic acid	PCR product			(realizes some ('synthesizing function' and ('inheres in' some 'DNA polymerase complex')))
OBI:0001914	multiplex ligation-mediated amplification	A polymerase chain reaction that amplifies multiple targets with a single primer pair mediated by hybridization of a primer with its target sequence using ligation.			LMA|MLPA|Multiplex ligation-dependent probe amplification	subclass	polymerase chain reaction				enzymatic ligation		
OBI:0002598	inverse polymerase chain reaction	A polymerase chain reaction which amplifies DNA with only one known sequence from which primers may be designed. A series of restriction digestions and ligations result in a looped DNA fragment which can be primed for PCR.			inverse PCR	subclass	polymerase chain reaction						
OBI:0002683	short interspersed nuclear elements polymerase chain reaction	A polymerase chain reaction that amplifies short interspersed nuclear elements (SINEs).			short interspersed elements PCR	subclass	polymerase chain reaction						
OBI:0002684	nested polymerase chain reaction	A polymerase chain reaction with modification intended to reduce non-specific binding in products due to the amplification of unexpected primer binding sites. The nested polymerase chain reaction (PCR) involves the use of two primer sets and two successive PCR reactions. The first set of primers are designed to anneal to sequences upstream from the second set of primers and are used in an initial PCR reaction.			nested-PCR|nested PCR	subclass	polymerase chain reaction						
OBI:0000552	reverse transcribed polymerase chain reaction	Reverse transcribe pcr is a process which allow amplification of cDNA during a pcr reaction while the cDNA results from a retrotranscription of messenger RNA isolated from a material entity.			RT-PCR|reverse transcription polymerase chain reaction	subclass	enzymatic amplification		ribonucleic acid	PCR product	('polymerase chain reaction' and ('immediately preceded by' some 'artificially induced reverse transcription'))		
OBI:0002090	rapid amplification of cDNA ends	A reverse transcribed polymerase chain reaction that is used to amplify a mRNA sequence between a defined internal site and the 5' or 3' end of the mRNA.			RACE	subclass	reverse transcribed polymerase chain reaction						
OBI:0002092	3' rapid amplification of cDNA ends	A rapid amplication of cDNA ends to amplify a mRNA sequence between a defined internal site and the 3' end of the mRNA.			3' RACE	subclass	rapid amplification of cDNA ends						
OBI:0002091	5' rapid amplification of cDNA ends	A rapid amplication of cDNA ends to amplify a mRNA sequence between a defined internal site and the 5' end of the mRNA.			5' RACE	subclass	rapid amplification of cDNA ends						
OBI:0002093	5' RNA ligase mediated rapid amplification of cDNA ends	A 5' rapid amplification pf cDNA ends that uses RNA ligase to add an RNA adapter oligonucleotide to intact 5' mRNA ends, allowing the amplification of cDNA only from full-length, capped mRNA.			5' RLM RACE	subclass	5' rapid amplification of cDNA ends						
OBI:0001494	linear amplification	An enzymatic amplification which amplifies nucleic acid sequence by making many copies off the same template.				subclass	enzymatic amplification						
OBI:0002687	ligase detection reaction	A linear amplification that uses a thermostable ligase to amplify a piece of DNA. Because the enzyme retains activity after multiple thermal cycles, the ligations may be repeated to linearly increase product.			LDR	subclass	linear amplification						
OBI:0002688	loop-mediated isothermal amplification	An enzymatic amplification in which a piece of DNA is amplified at a constant temperature of 60 - 65 degree C using either two or three sets of primers and a polymerase with high strand displacement activity in addition to a replication activity. This amplification does not need thermal cyclers and may be a low cost alternative to PCR.			LAMP	subclass	enzymatic amplification						
OBI:0600049	DNA polymerase amplification	DNA polymerase amplification is an enzymatic amplification which uses DNA polymerase enzyme to make copies of a DNA contained in biomaterial used as input				subclass	enzymatic amplification		DNA polymerase complex|('ribonucleic acid' and ('located in' some 'material entity'))				
OBI:0600057	enzymatic DNA replication	The use of enzymes to duplicate DNA molecule any process used to make additional copies of a biomaterial				subclass	enzymatic amplification						
OBI:0600064	recombinant vector cloning	A planned process with the objective to insert genetic material into a cloning vector for future replication of the inserted material			molecular cloning	subclass	material processing	material transformation objective	cloning vector|('material entity' and ('has role' some 'cloning insert role'))	recombinant vector			('realizes' some 'cloning vector role')
OBI:0000687	nucleotide overhang cloning	Nucleotide overhang cloning is the process of inserting nucleic acid into a vector using nucleotide overhangs used to prevent self ligation				subclass	recombinant vector cloning						
OBI:0000692	recombination enzyme based cloning	Restriction enzyme based cloning is a recombinant vector cloning process that has as an input genetic material that was cleaved with restriction enzymes, and a cloning vector that was cleaved with complementary restriction enzymes. It uses ligase to chemically join the input genetic material and the cloning vector to create a recombinant vector.				subclass	recombinant vector cloning						
OBI:0000738	restriction enzyme based cloning	Restriction enzyme based cloning is a recombinant vector cloning process that has as an input genetic material that was cleaved with restriction enzymes, and a cloning vector that was cleaved with complementary restriction enzymes. It uses ligase to chemically join the input genetic material and the cloning vector to create a recombinant vector.				subclass	recombinant vector cloning						
OBI:0000790	recombinant BAC cloning	Recombinant BAC cloning is a process with the objective to insert genetic material into an F plasmid based bacterial artificial chromosome for future replication of the inserted material				subclass	recombinant vector cloning						
OBI:0000799	recombinant phage cloning	Recombinant phage cloning is the process of using a phage plus some insert nucleic acid for the purposes of amplification of the insert material achieved by phage assembly in vitro.				subclass	recombinant vector cloning						
OBI:0000824	recombinant YAC cloning	Recombinant YAC cloning is a process with the objective to insert genetic material into a yeast artificial chromosome vector for future replication of the inserted material				subclass	recombinant vector cloning						
OBI:0600042	recombinant plasmid cloning	The insertion of a particular DNA fragment into a plasmid in order to make copies of a biomaterial				subclass	recombinant vector cloning						
OBI:0600048	vector mediated amplification	The process of creating a copy of some biological entity in cell culture				subclass	recombinant vector cloning						
OBI:0600063	vector mediated expression	Vector mediated expression sis the generation of copies of biomaterial by in a cell_culture modified for this purpose by insertion of an expression vector				subclass	recombinant vector cloning						
OBI:1110020	Immunization in vitro	Process of administering an object playing the role of immunogen to a cell culture				subclass	material processing	material transformation objective	cultured cell population	cultured cell population			('has part' some immunization)
